SEASON,SEASON_TYPE,TEAM_ABB,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2016-17,regular-season,-,82,100,39.9,88.8,44.9,49.2,73.7,32.2,65.4,49.1,26.3,7.7,23.4,33.0,0
2016-17,regular-season,-,80,100,39.8,88.5,45.0,49.2,74.4,32.4,65.9,49.1,25.6,7.5,22.7,32.9,0
2016-17,regular-season,-,82,100,39.6,88.5,44.7,49.6,72.1,31.0,63.8,48.5,27.9,8.6,24.7,34.8,0
2016-17,regular-season,-,81,100,41.0,87.6,46.8,52.8,67.1,30.5,58.8,51.8,32.9,10.6,28.8,36.7,0
2016-17,regular-season,-,82,100,39.3,87.3,45.0,50.1,70.6,30.4,61.6,49.3,29.4,8.9,25.7,34.6,0
2016-17,regular-season,-,82,100,39.4,87.3,45.2,50.0,70.5,31.0,61.5,50.4,29.5,8.4,25.8,32.7,0
2016-17,regular-season,-,82,100,40.3,87.2,46.2,54.5,53.8,25.9,46.9,55.2,46.2,14.4,40.3,35.7,0
2016-17,regular-season,-,82,100,43.1,87.1,49.5,56.3,64.1,31.1,55.8,55.7,35.9,12.0,31.2,38.3,0
2016-17,regular-season,-,82,100,38.6,87.1,44.4,48.7,74.4,31.1,64.7,48.0,25.6,7.6,22.3,34.0,0
2016-17,regular-season,-,82,100,39.1,86.9,45.0,50.4,69.2,29.8,60.2,49.5,30.8,9.4,26.8,35.0,0
2016-17,regular-season,-,82,100,41.2,86.9,47.5,52.8,71.5,32.0,62.2,51.5,28.5,9.2,24.7,37.3,0
2016-17,regular-season,-,82,100,38.2,86.8,44.0,48.9,70.0,29.6,60.8,48.8,30.0,8.5,26.0,32.7,0
2016-17,regular-season,-,82,100,39.5,86.0,45.9,52.0,67.8,29.1,58.3,49.9,32.2,10.4,27.7,37.5,0
2016-17,regular-season,-,82,100,39.0,85.8,45.5,51.2,68.6,29.2,58.8,49.6,31.4,9.8,27.0,36.5,0
2016-17,regular-season,-,82,100,37.7,85.3,44.2,50.1,66.5,27.7,56.7,48.8,33.5,10.1,28.6,35.1,0
2016-17,regular-season,-,82,100,37.6,85.2,44.2,50.1,65.0,27.5,55.4,49.6,35.0,10.1,29.8,34.0,0
2016-17,regular-season,-,81,100,37.9,85.1,44.5,50.8,62.9,27.1,53.6,50.7,37.1,10.7,31.6,33.9,0
2016-17,regular-season,-,82,100,38.6,85.1,45.4,52.5,60.7,26.6,51.6,51.5,39.3,12.0,33.4,35.9,0
2016-17,regular-season,-,82,100,39.9,84.9,47.0,54.7,60.1,26.9,51.0,52.8,39.9,13.0,33.9,38.4,0
