SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Tari Eason,1631106,20,0.8,6.3,1.07,0.8,0.3,0.4,75.0,87.5,6.7,40.0,0.0,0.0,46.7,96.4
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Goga Bitadze,1629048,31,0.5,11.3,0.94,0.5,0.0,0.0,0.0,0.0,70.6,29.4,11.8,0.0,64.7,92.4
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Andrew Wiggins,203952,33,0.6,3.7,0.84,0.5,0.1,0.2,50.0,66.7,26.3,42.1,0.0,0.0,42.1,87.0
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Darius Garland,1629636,23,0.9,4.7,0.80,0.7,0.1,0.3,33.3,41.7,30.0,40.0,0.0,0.0,40.0,85.0
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Andre Drummond,203083,30,0.7,10.0,0.76,0.5,0.0,0.0,100,100,42.9,52.4,0.0,0.0,47.6,81.5
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Kyle Kuzma,1628398,35,0.6,5.3,0.73,0.5,0.1,0.2,66.7,75.0,18.2,54.5,4.5,0.0,36.4,77.4
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Jaden McDaniels,1630183,36,0.6,4.5,0.73,0.4,0.1,0.2,33.3,33.3,31.8,40.9,0.0,0.0,36.4,77.4
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Chet Holmgren,1631096,30,0.8,5.4,0.64,0.5,0.1,0.1,100,100,36.0,56.0,12.0,0.0,36.0,65.2
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Derrick White,1628401,36,0.8,4.3,0.53,0.4,0.1,0.2,42.9,50.0,16.7,60.0,0.0,0.0,26.7,53.6
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Jeremiah Fears,1642847,39,0.8,4.9,0.52,0.4,0.2,0.3,58.3,62.5,3.2,58.1,0.0,0.0,25.8,50.4
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Anthony Black,1641710,35,0.9,5.8,0.48,0.5,0.1,0.2,50.0,66.7,21.2,60.6,0.0,0.0,27.3,45.3
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Dennis Schröder,203471,30,0.5,3.8,0.94,0.5,0.0,0.0,100,100,43.8,50.0,0.0,0.0,50.0,92.0
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Ronald Holland II,1641842,33,0.7,6.9,0.68,0.5,0.1,0.2,37.5,37.5,31.8,36.4,13.6,4.5,40.9,71.0
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Jarred Vanderbilt,1629020,28,0.9,14.5,0.63,0.5,0.1,0.1,66.7,83.3,29.2,58.3,0.0,0.0,37.5,62.4
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Moussa Diabaté,1631217,34,0.8,10.9,0.56,0.4,0.0,0.0,0.0,0.0,51.9,48.1,7.4,0.0,37.0,56.4
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Peyton Watson,1631212,36,0.8,6.1,0.54,0.4,0.1,0.1,100,100,28.6,60.7,0.0,0.0,32.1,54.0
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Naz Reid,1629675,38,0.8,5.4,0.52,0.4,0.1,0.1,60.0,70.0,17.2,65.5,0.0,0.0,27.6,50.7
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Noah Clowney,1641730,34,0.9,6.5,0.50,0.4,0.1,0.1,66.7,66.7,23.3,66.7,0.0,0.0,30.0,47.7
