SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
2016-17,All+Star,A. Abrines - D. Exum - D. Saric - N. Jokic - K. Porzingis,WLD,1,2,80.0,120.0,-40.0,50.0,0.00,16.7,-,-,-,0.0,50.0,50.0,145.45,31.6,0,0
2016-17,All+Star,B. Davis - A. Mackie - R. Miller -  . Master P - C. Parker,WST,1,2,33.3,114.3,-81.0,100,0.00,14.3,-,-,-,0.0,16.7,16.7,156.00,4.5,0,0
2016-17,All+Star,J. Simmons - D. Russell - K. Towns - F. Kaminsky - D. Booker,USA,1,2,175.0,160.0,15.0,66.7,0.00,33.3,-,-,-,0.0,87.5,87.5,108.00,45.9,0,0
2016-17,All+Star,J. Simmons - K. Towns - D. Booker - B. Ingram - M. Brogdon,USA,1,2,116.7,40.0,76.7,0.0,0.00,0.0,-,-,-,0.0,70.0,70.0,141.43,94.7,0,0
2016-17,All+Star,L. James - K. Lowry - D. DeRozan - J. Wall - J. Butler,EST,1,2,75.0,133.3,-58.3,66.7,0.00,20.0,-,-,-,0.0,37.5,37.5,188.31,26.1,0,0
2016-17,All+Star,N. Cannon - D. Rachel - A. Elgort - M. Lasry - K. Wu,EST,1,2,33.3,120.0,-86.7,0.0,0.00,0.0,-,-,-,0.5,0.0,21.0,141.43,-100.0,0,0
2016-17,All+Star,T. Cavanagh - B. Davis - A. Grammer - R. Miller - A. Sanchez,WST,1,2,100.0,266.7,-166.7,100,0.00,25.0,-,-,-,0.0,75.0,75.0,91.91,25.0,0,0
2016-17,All+Star,A. Grammer - J. Jinfu - A. Mackie - H. Minhaj - A. Sanchez,WST,1,1,0.0,150.0,-150.0,0.0,0.00,0.0,-,-,-,0.0,0.0,0.0,120.00,-150.0,0,0
2016-17,All+Star,B. Armstrong - W. Butler - A. Elgort - O. Schmidt - K. Wu,EST,1,1,0.0,0.0,0.0,0.0,0.00,0.0,-,-,-,0.0,0.0,0.0,91.91,0.0,0,0
2016-17,All+Star,C. Anthony - K. Lowry - D. DeRozan - K. Irving - K. Walker,EST,1,1,150.0,140.0,10.0,50.0,1.00,16.7,-,-,-,0.3,75.0,75.0,160.00,34.4,0,0
2016-17,All+Star,D. DeRozan - P. George - K. Irving - K. Walker - G. Antetokounmpo,EST,1,1,40.0,40.0,0.0,100,1.00,14.3,-,-,-,0.2,20.0,20.0,192.00,33.3,0,0
