SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,MIN,W,L,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
2018-19,Regular+Season,POR,Portland Trail Blazers,82,242.1,53,29,6.7,5.0,36.2,15.4,24.1,63.9
2018-19,Regular+Season,SAC,Sacramento Kings,82,240.6,39,43,8.3,4.4,34.4,18.0,26.9,66.9
2018-19,Regular+Season,SAS,San Antonio Spurs,82,241.5,48,34,6.1,4.7,35.5,14.4,22.0,65.4
2018-19,Regular+Season,TOR,Toronto Raptors,82,242.4,58,24,8.3,5.3,35.6,15.4,24.6,62.8
2018-19,Regular+Season,UTA,Utah Jazz,81,240.9,50,31,8.0,5.9,36.4,15.0,24.9,60.1
2018-19,Regular+Season,WAS,Washington Wizards,81,243.1,31,50,8.3,4.7,32.6,19.2,29.0,66.3
2018-19,Playoffs,BOS,Boston Celtics,9,240.0,5,4,5.9,3.8,40.3,15.4,25.6,60.4
2018-19,Playoffs,BKN,Brooklyn Nets,5,240.0,1,4,7.6,2.8,29.2,18.6,27.6,67.4
2018-19,Playoffs,DEN,Denver Nuggets,14,247.1,7,7,5.7,4.6,34.6,14.9,24.1,62.0
2018-19,Playoffs,DET,Detroit Pistons,4,240.0,0,4,7.3,4.0,31.5,20.5,25.8,79.6
2018-19,Playoffs,GSW,Golden State Warriors,22,242.3,14,8,7.4,5.7,33.2,14.0,22.9,60.9
2018-19,Playoffs,HOU,Houston Rockets,11,242.3,6,5,8.5,5.1,33.3,17.3,25.0,69.1
2018-19,Playoffs,IND,Indiana Pacers,4,240.0,0,4,8.3,3.5,32.3,9.8,17.3,56.5
2018-19,Playoffs,LAC,LA Clippers,6,240.0,2,4,8.0,3.3,30.2,16.7,23.2,71.9
2018-19,Playoffs,MIL,Milwaukee Bucks,15,243.3,10,5,6.7,6.4,41.8,11.7,20.8,56.4
2018-19,Playoffs,OKC,Oklahoma City Thunder,5,240.0,1,4,6.6,5.4,33.0,15.4,27.6,55.8
