SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
2015-16,playoffs,GSW,9,6,3,4.0,55.1,44.9,41.9,4.7,45.3,20.9,12.8,19.8,37.2,61.1,38.9,46.2,53.8,54.8,45.2
2015-16,playoffs,TOR,9,6,3,5.1,82.4,17.6,47.8,15.2,16.3,1.1,35.9,15.2,32.6,22.7,77.3,40.0,60.0,25.9,74.1
2015-16,playoffs,OKC,10,5,5,3.2,76.0,24.0,57.1,10.7,10.7,17.9,32.1,7.1,46.4,31.3,68.8,100,0.0,38.9,61.1
2015-16,playoffs,MIA,8,3,5,5.5,73.8,26.2,52.4,14.3,17.9,7.1,29.8,16.7,38.1,9.1,90.9,60.0,40.0,18.5,81.5
2015-16,playoffs,BOS,3,2,1,5.9,53.3,46.7,34.3,11.4,42.9,8.6,22.9,14.3,22.9,33.3,66.7,60.0,40.0,45.5,54.5
2015-16,playoffs,CHA,3,2,1,3.7,61.1,38.9,38.1,19.0,42.9,9.5,19.0,14.3,19.0,25.0,75.0,100,0.0,57.1,42.9
2015-16,playoffs,POR,5,2,3,5.0,65.9,34.1,39.2,11.8,29.4,11.8,31.4,13.7,27.5,30.0,70.0,80.0,20.0,46.7,53.3
2015-16,playoffs,SAS,5,2,3,3.6,65.6,34.4,40.9,13.6,13.6,13.6,45.5,20.5,27.3,11.1,88.9,100,0.0,27.3,72.7
2015-16,playoffs,ATL,6,1,5,4.4,66.7,33.3,55.0,0.0,22.5,20.0,22.5,25.0,55.0,54.5,45.5,66.7,33.3,57.1,42.9
2015-16,playoffs,DAL,2,1,1,2.8,80.0,20.0,100,40.0,0.0,40.0,0.0,20.0,60.0,20.0,80.0,0.0,0.0,20.0,80.0
2015-16,playoffs,HOU,1,1,0,3.8,83.3,16.7,44.4,0.0,33.3,0.0,22.2,33.3,44.4,50.0,50.0,100,0.0,66.7,33.3
2015-16,playoffs,IND,3,1,2,2.6,50.0,50.0,54.5,18.2,27.3,18.2,18.2,0.0,36.4,66.7,33.3,100,0.0,75.0,25.0
2015-16,playoffs,DET,3,0,3,3.6,60.0,40.0,36.4,0.0,27.3,18.2,36.4,27.3,36.4,50.0,50.0,100,0.0,66.7,33.3
2015-16,playoffs,LAC,2,0,2,4.2,53.8,46.2,66.7,50.0,0.0,0.0,33.3,16.7,16.7,75.0,25.0,0.0,0.0,75.0,25.0
2015-16,playoffs,MEM,1,0,1,1.9,75.0,25.0,100,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,100
2016-17,pre-season,PHX,6,4,2,2.1,79.2,20.8,50.0,7.1,10.7,7.1,39.3,17.9,42.9,28.6,71.4,100,0.0,37.5,62.5
2016-17,pre-season,POR,5,4,1,4.7,68.4,31.6,54.9,15.7,29.4,7.8,15.7,17.6,39.2,42.9,57.1,80.0,20.0,52.6,47.4
2016-17,pre-season,GSW,4,3,1,3.4,55.6,44.4,40.9,9.1,40.9,20.5,18.2,15.9,31.8,22.2,77.8,66.7,33.3,40.0,60.0
2016-17,pre-season,LAC,4,3,1,3.7,80.0,20.0,45.7,11.4,8.6,5.7,45.7,17.1,34.3,12.5,87.5,100,0.0,22.2,77.8
2016-17,pre-season,ATL,3,2,1,3.3,88.2,11.8,72.0,16.0,0.0,8.0,28.0,8.0,56.0,33.3,66.7,0.0,0.0,33.3,66.7
2016-17,pre-season,BOS,3,2,1,3.5,52.6,47.4,66.7,0.0,12.5,33.3,20.8,25.0,66.7,75.0,25.0,100,0.0,77.8,22.2
2016-17,pre-season,CHA,3,2,1,5.5,76.5,23.5,54.5,12.1,18.2,18.2,27.3,24.2,42.4,66.7,33.3,50.0,50.0,63.6,36.4
