SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Karl-Anthony Towns,1626157,36,23,13,32.3,8.5,2.1,24.1,12.8,66.9,1.1,73.4,4.9
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Karlo Matković,1631255,25,8,17,12.9,2.8,0.9,32.9,4.4,64.2,0.4,70.0,4.9
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Kasparas Jakučionis,1642857,10,4,6,16.4,1.5,0.3,20.0,2.6,57.7,0.5,71.4,7.1
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,Kawhi Leonard,202695,29,14,15,33.9,5.4,1.1,20.3,8.3,65.3,0.5,69.6,6.7
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Keaton Wallace,1630811,25,12,13,13.8,1.7,0.3,16.7,2.6,64.6,0.2,68.9,8.4
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Keegan Murray,1631099,19,4,15,35.9,4.5,1.1,23.3,8.3,54.4,0.9,61.4,6.4
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Kel'el Ware,1642276,38,20,18,24.5,6.8,2.3,33.5,10.8,63.1,1.1,70.3,4.1
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Keldon Johnson,1629640,40,27,13,23.6,4.3,1.4,31.4,7.0,61.9,0.7,68.8,5.4
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Kelly Olynyk,203482,21,14,7,11.2,1.7,0.4,22.9,2.5,66.0,0.3,76.1,6.2
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Kelly Oubre Jr.,1626162,16,10,6,32.3,3.9,1.0,25.8,8.1,48.1,0.8,53.0,5.4
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Kenrich Williams,1629026,19,15,4,14.1,2.3,0.7,29.5,3.6,63.8,0.3,68.8,6.1
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,Kentavious Caldwell-Pope,203484,33,15,18,21.0,2.3,0.4,17.1,3.2,71.0,0.2,74.5,8.6
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Keon Ellis,1631165,29,7,22,18.7,1.3,0.2,18.4,2.3,57.6,0.0,58.5,9.4
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Keshad Johnson,1642352,12,7,5,10.5,1.8,0.7,38.1,3.3,53.8,0.4,61.8,4.4
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Kevin Durant,201142,35,21,14,36.4,5.0,1.3,25.1,7.1,70.0,0.7,77.1,7.4
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Kevin Huerter,1628989,31,15,16,25.3,3.6,0.7,20.7,5.9,60.7,0.5,65.7,6.9
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Kevin Love,201567,22,7,15,17.0,3.7,1.3,35.8,7.1,51.9,1.0,60.4,4.6
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Kevin McCullar Jr.,1641755,6,2,4,11.8,2.0,0.5,25.0,2.8,70.6,0.0,70.6,7.4
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Kevin Porter Jr.,1629645,20,9,11,35.6,4.6,0.8,17.4,7.9,58.6,0.7,64.3,7.8
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Kevon Looney,1626172,15,2,13,14.4,2.9,0.7,25.6,5.3,54.4,0.5,59.7,6.4
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Keyonte George,1641718,36,13,23,34.5,3.8,0.4,11.6,5.5,70.1,0.4,75.8,8.9
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Khaman Maluach,1642863,10,6,4,6.2,1.3,0.3,23.1,2.0,65.0,0.5,86.7,5.4
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Khris Middleton,203114,26,9,17,24.0,3.0,0.8,28.2,5.0,59.5,0.4,64.5,7.3
2025-26,Regular+Season,DAL,1610612742,Dallas Mavericks,Klay Thompson,202691,35,12,23,22.1,2.3,0.5,20.3,4.1,54.9,0.3,59.8,9.6
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,Kobe Brown,1641738,17,5,12,11.1,1.7,0.6,34.5,2.9,58.0,0.2,61.7,7.1
2025-26,Regular+Season,LAL,1610612747,Los Angeles Lakers,Kobe Bufkin,1641723,1,1,0,3.8,1.0,1.0,100,2.0,50.0,0.0,50.0,3.4
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,Kobe Sanders,1642920,27,12,15,21.0,2.2,0.5,22.0,3.7,59.6,0.4,66.3,7.9
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Koby Brea,1642886,1,0,1,3.8,1.0,0.0,0.0,1.0,100,0.0,100,4.0
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Kon Knueppel,1642851,38,13,25,32.9,4.2,0.8,18.6,7.8,54.6,0.8,61.0,6.9
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,Kris Dunn,1627739,35,14,21,27.7,2.3,0.4,16.5,4.5,50.3,0.6,58.1,7.0
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Kris Murray,1631200,31,14,17,26.0,2.4,0.8,32.0,4.8,50.0,0.5,55.1,9.0
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Kristaps Porziņģis,204001,17,9,8,24.3,3.9,1.8,47.0,6.9,55.9,0.8,62.9,5.7
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Kyle Anderson,203937,9,2,7,19.8,2.6,0.7,26.1,3.8,67.6,0.1,69.7,7.5
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Kyle Filipowski,1642271,37,13,24,21.9,4.5,1.3,29.1,6.8,66.0,0.2,68.5,5.0
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Kyle Kuzma,1628398,36,17,19,26.0,3.7,1.1,30.3,6.2,59.5,0.7,67.3,7.2
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Kyle Lowry,200768,3,1,2,9.4,1.0,0.7,66.7,2.7,37.5,0.0,37.5,9.1
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Kyshawn George,1642273,29,5,24,31.4,4.6,1.2,26.9,7.6,61.2,0.5,65.7,7.3
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,LaMelo Ball,1630163,30,11,19,27.9,4.2,0.9,22.2,6.0,70.0,0.4,75.0,6.5
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Lachlan Olbrich,1642950,7,1,6,9.3,1.9,0.7,38.5,3.4,54.2,0.1,56.5,4.4
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Landry Shamet,1629013,14,9,5,22.2,1.6,0.2,13.0,3.4,47.9,0.6,57.5,10.9
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Larry Nance Jr.,1626204,14,9,5,16.3,2.3,0.5,21.9,4.9,47.1,0.8,56.1,5.2
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Lauri Markkanen,1628374,32,13,19,35.9,5.2,1.5,28.7,7.7,67.9,0.4,71.4,6.2
2025-26,Regular+Season,LAL,1610612747,Los Angeles Lakers,LeBron James,2544,20,13,7,33.4,5.4,1.0,17.8,7.8,68.6,0.7,74.8,7.2
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Leonard Miller,1631159,12,9,3,5.5,1.3,0.4,31.3,1.9,69.6,0.3,80.0,4.9
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Liam McNeeley,1642862,24,6,18,13.7,2.0,0.3,16.7,3.7,53.9,0.5,61.5,6.0
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Lindy Waters III,1630322,14,9,5,9.2,1.3,0.5,38.9,2.3,56.3,0.2,62.1,6.4
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Lonzo Ball,1628366,27,13,14,22.4,3.1,1.0,30.6,5.2,60.7,0.5,66.9,6.6
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Luguentz Dort,1629652,31,25,6,26.9,2.8,0.8,29.5,5.0,56.8,0.6,64.2,8.0
2025-26,Regular+Season,LAL,1610612747,Los Angeles Lakers,Luka Dončić,1629029,31,20,11,36.4,6.9,1.8,26.5,10.5,66.4,0.5,70.0,5.5
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Luka Garza,1630568,28,18,10,17.3,2.1,1.1,50.8,4.9,42.8,1.0,54.1,5.9
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Luke Kennard,1628379,28,15,13,21.3,1.9,0.2,11.1,3.3,58.7,0.3,63.5,8.3
