SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,POR,Portland Trail Blazers,82,7.3,6.7,0.99,7.3,2.7,5.6,48.4,53.1,15.3,11.8,14.5,3.7,47.3,34.5
2015-16,Regular+Season,IND,Indiana Pacers,82,7.3,6.7,0.97,7.1,3.0,6.2,48.4,49.5,11.6,6.5,11.0,2.5,48.8,20.7
2015-16,Regular+Season,SAC,Sacramento Kings,82,7.2,6.3,0.98,7.0,2.8,5.9,47.0,49.1,12.9,7.0,12.6,2.9,48.0,31.0
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,6.9,6.5,1.01,7.0,2.9,5.8,49.9,50.9,10.0,7.4,8.8,1.4,50.2,41.4
2015-16,Regular+Season,CHI,Chicago Bulls,82,7.1,6.5,0.98,7.0,2.8,6.0,47.2,49.8,10.1,6.9,8.8,1.0,47.9,27.6
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,7.2,6.6,0.95,6.8,2.7,5.6,48.0,50.7,12.8,11.4,12.1,2.4,47.4,6.9
2015-16,Regular+Season,DET,Detroit Pistons,82,6.6,6.0,1.02,6.7,2.7,5.4,50.2,53.6,12.7,7.2,11.9,1.8,49.8,48.3
2015-16,Regular+Season,PHX,Phoenix Suns,82,6.3,5.6,1.03,6.5,2.6,5.4,47.7,53.2,10.6,6.9,10.2,2.7,48.0,65.5
2015-16,Regular+Season,TOR,Toronto Raptors,82,5.7,5.4,1.06,6.0,2.4,4.7,50.8,54.3,12.5,7.5,11.6,2.6,51.1,82.8
2015-16,Regular+Season,NYK,New York Knicks,82,5.9,5.5,0.96,5.7,2.3,4.8,47.2,50.6,9.4,8.9,8.9,1.0,46.6,13.8
2015-16,Regular+Season,GSW,Golden State Warriors,82,5.6,5.1,0.99,5.6,2.1,4.4,47.0,51.6,13.9,8.9,13.4,2.2,47.5,37.9
2015-16,Regular+Season,HOU,Houston Rockets,82,5.4,4.8,1.03,5.5,2.3,4.3,54.1,56.8,14.7,10.6,13.1,4.5,50.6,55.2
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,5.3,5.0,1.02,5.4,2.4,4.4,53.2,53.7,10.3,8.5,10.1,1.8,51.0,51.7
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,5.7,5.2,0.93,5.3,2.2,4.8,45.7,46.4,10.8,6.9,9.9,2.4,46.7,0.0
2015-16,Playoffs,TOR,Toronto Raptors,20,6.6,6.3,1.12,7.4,3.0,5.7,53.1,57.5,12.1,5.3,12.1,3.8,52.3,86.7
2015-16,Playoffs,OKC,Oklahoma City Thunder,18,7.5,6.8,0.99,7.4,3.0,6.3,50.9,51.3,11.1,9.6,10.4,5.2,48.1,46.7
2015-16,Playoffs,CLE,Cleveland Cavaliers,21,5.7,5.6,1.10,6.3,2.0,4.9,46.6,55.3,10.8,5.0,10.0,1.7,48.3,80.0
2015-16,Playoffs,MIA,Miami Heat,14,8.2,8.0,1.05,8.6,3.0,6.6,50.5,53.2,13.9,7.0,12.2,1.7,52.2,66.7
2015-16,Playoffs,GSW,Golden State Warriors,24,5.3,4.8,0.90,4.8,2.0,4.5,42.1,49.1,6.3,9.4,4.7,0.0,39.4,40.0
2015-16,Playoffs,ATL,Atlanta Hawks,10,8.2,7.6,1.16,9.5,3.0,7.0,48.6,55.7,12.2,4.9,11.0,2.4,51.2,93.3
2015-16,Playoffs,SAS,San Antonio Spurs,10,8.4,8.3,1.06,8.9,4.0,7.3,52.1,52.1,13.1,3.6,13.1,3.6,54.8,73.3
2015-16,Playoffs,CHA,Charlotte Hornets,7,9.9,9.8,1.00,9.9,4.0,8.3,44.8,48.3,11.6,4.3,11.6,0.0,47.8,53.3
2015-16,Playoffs,IND,Indiana Pacers,7,7.1,7.2,0.86,6.1,2.0,5.3,45.9,45.9,14.0,12.0,10.0,0.0,44.0,26.7
2015-16,Playoffs,POR,Portland Trail Blazers,11,5.9,5.2,0.63,3.7,1.0,4.7,30.8,31.7,10.8,9.2,10.8,0.0,33.8,0.0
2015-16,Playoffs,LAC,LA Clippers,6,5.7,5.3,1.18,6.7,2.0,4.3,57.7,59.6,17.6,5.9,17.6,2.9,55.9,100
2015-16,Playoffs,BOS,Boston Celtics,6,7.2,6.4,0.84,6.0,3.0,6.7,40.0,41.3,4.7,2.3,4.7,0.0,41.9,13.3
2015-16,Playoffs,DAL,Dallas Mavericks,5,6.4,6.2,1.03,6.6,3.0,5.2,50.0,50.0,18.8,6.3,18.8,6.3,53.1,60.0
2015-16,Playoffs,DET,Detroit Pistons,4,7.5,8.0,0.80,6.0,3.0,6.3,44.0,44.0,10.0,10.0,10.0,3.3,40.0,6.7
2015-16,Playoffs,HOU,Houston Rockets,5,5.2,4.5,0.85,4.4,2.0,4.4,40.9,40.9,11.5,3.8,7.7,0.0,42.3,20.0
2015-16,Playoffs,MEM,Memphis Grizzlies,4,4.5,4.3,0.89,4.0,2.0,3.5,42.9,42.9,11.1,11.1,11.1,0.0,44.4,33.3
2016-17,Pre+Season,CLE,Cleveland Cavaliers,6,10.8,10.0,1.28,13.8,5.0,9.0,55.6,63.9,13.8,6.2,13.8,3.1,55.4,90.0
2016-17,Pre+Season,HOU,Houston Rockets,7,8.6,7.3,1.22,10.4,4.0,6.0,61.4,64.8,18.3,8.3,16.7,0.0,61.7,83.3
2016-17,Pre+Season,UTA,Utah Jazz,6,10.2,9.4,1.13,11.5,4.0,8.0,51.0,55.1,19.7,1.6,18.0,1.6,57.4,80.0
2016-17,Pre+Season,PHI,Philadelphia 76ers,7,8.9,7.8,1.11,9.9,4.0,7.0,59.6,63.8,12.9,14.5,11.3,3.2,54.8,73.3
2016-17,Pre+Season,DEN,Denver Nuggets,7,6.6,5.6,1.46,9.6,4.0,5.0,73.5,80.9,21.7,4.3,21.7,0.0,71.7,100
2016-17,Pre+Season,CHI,Chicago Bulls,7,7.7,6.8,1.22,9.4,4.0,6.0,61.9,64.3,20.4,9.3,20.4,7.4,59.3,86.7
2016-17,Pre+Season,BKN,Brooklyn Nets,6,10.7,9.5,0.97,10.3,4.0,8.0,47.9,56.3,10.9,15.6,9.4,1.6,45.3,56.7
2016-17,Pre+Season,MIA,Miami Heat,6,6.8,5.4,1.44,9.8,4.0,6.0,75.8,77.3,17.1,7.3,17.1,4.9,70.7,96.7
2016-17,Pre+Season,LAC,LA Clippers,6,9.8,9.4,1.00,9.8,4.0,7.0,51.2,55.8,13.6,15.3,13.6,1.7,47.5,63.3
2016-17,Pre+Season,WAS,Washington Wizards,7,9.6,8.5,0.88,8.4,3.0,9.0,38.7,41.1,10.4,1.5,10.4,4.5,41.8,43.3
2016-17,Pre+Season,MEM,Memphis Grizzlies,6,8.5,7.3,0.98,8.3,3.0,7.0,45.0,52.5,9.8,11.8,9.8,0.0,45.1,60.0
2016-17,Pre+Season,LAL,Los Angeles Lakers,8,7.8,6.7,0.81,6.3,2.0,6.0,40.4,41.5,12.9,14.5,12.9,3.2,40.3,30.0
2016-17,Pre+Season,OKC,Oklahoma City Thunder,6,7.8,6.9,1.02,8.0,3.0,6.0,54.1,55.4,14.9,10.6,12.8,4.3,48.9,66.7
2016-17,Pre+Season,SAS,San Antonio Spurs,5,9.2,8.5,0.96,8.8,4.0,8.0,50.0,52.6,6.5,10.9,6.5,0.0,47.8,53.3
2016-17,Pre+Season,ATL,Atlanta Hawks,7,7.4,6.9,0.85,6.3,2.0,6.0,40.5,41.7,13.5,7.7,13.5,1.9,42.3,40.0
2016-17,Pre+Season,DAL,Dallas Mavericks,6,6.7,6.2,1.02,6.8,2.0,6.0,44.1,45.6,17.5,0.0,17.5,2.5,52.5,70.0
2016-17,Pre+Season,DET,Detroit Pistons,6,8.2,7.8,0.84,6.8,3.0,7.0,37.2,41.9,8.2,8.2,8.2,4.1,36.7,36.7
2016-17,Pre+Season,BOS,Boston Celtics,7,7.0,6.2,0.78,5.4,2.0,6.0,35.7,39.3,6.1,8.2,6.1,0.0,36.7,13.3
2016-17,Pre+Season,POR,Portland Trail Blazers,7,4.7,4.3,1.12,5.3,2.0,3.0,52.2,58.7,24.2,9.1,27.3,6.1,51.5,76.7
2016-17,Pre+Season,SAC,Sacramento Kings,6,4.7,4.3,1.29,6.0,2.0,4.0,63.6,70.5,17.9,3.6,14.3,0.0,60.7,93.3
2016-17,Pre+Season,CHA,Charlotte Hornets,7,5.4,4.3,0.95,5.1,2.0,4.0,45.2,50.0,7.9,10.5,7.9,0.0,44.7,50.0
2016-17,Pre+Season,NYK,New York Knicks,6,7.0,6.0,0.83,5.8,2.0,5.0,40.6,42.2,11.9,11.9,11.9,0.0,42.9,33.3
2016-17,Pre+Season,NOP,New Orleans Pelicans,5,7.2,6.5,0.81,5.8,2.0,5.0,36.0,36.0,22.2,13.9,22.2,5.6,41.7,26.7
2016-17,Pre+Season,PHX,Phoenix Suns,6,6.0,5.0,0.78,4.7,2.0,5.0,32.3,35.5,16.7,0.0,13.9,2.8,38.9,16.7
2016-17,Pre+Season,GSW,Golden State Warriors,7,4.3,3.9,0.80,3.4,1.0,4.0,40.0,42.0,6.7,13.3,6.7,3.3,36.7,23.3
2016-17,Pre+Season,MIL,Milwaukee Bucks,6,4.8,4.6,0.79,3.8,1.0,4.0,34.8,34.8,13.8,10.3,13.8,3.4,37.9,20.0
2016-17,Pre+Season,ORL,Orlando Magic,6,5.7,5.0,0.68,3.8,2.0,4.0,34.6,36.5,14.7,8.8,14.7,0.0,35.3,10.0
2016-17,Pre+Season,IND,Indiana Pacers,6,6.5,6.0,0.56,3.7,2.0,5.0,28.1,28.1,7.7,10.3,5.1,0.0,28.2,3.3
2016-17,Pre+Season,TOR,Toronto Raptors,7,6.4,5.9,0.49,3.1,1.0,5.0,18.8,18.8,17.8,11.1,17.8,0.0,26.7,0.0
2016-17,Pre+Season,Buenos Aires San Lorenzo,Buenos Aires San Lorenzo,1,9.0,8.9,2.00,18.0,6.0,6.0,100,108.3,33.3,11.1,33.3,11.1,88.9,0.0
2016-17,Pre+Season,MIN,Minnesota Timberwolves,4,6.0,5.4,0.67,4.0,2.0,5.0,36.8,36.8,4.2,16.7,4.2,0.0,33.3,6.7
2016-17,Pre+Season,Madrid Real Madrid,Madrid Real Madrid,1,8.0,6.6,1.50,12.0,3.0,5.0,60.0,80.0,25.0,12.5,25.0,0.0,62.5,0.0
2016-17,Pre+Season,Shanghai Shanghai Sharks,Shanghai Shanghai Sharks,1,10.0,8.7,0.90,9.0,4.0,8.0,50.0,50.0,10.0,10.0,10.0,0.0,50.0,46.7
2016-17,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,1,3.0,2.7,1.67,5.0,2.0,2.0,100,125.0,0.0,33.3,0.0,0.0,66.7,0.0
2016-17,Pre+Season,Barcelona FC Barcelona Lassa,Barcelona FC Barcelona Lassa,1,7.0,6.9,0.57,4.0,0.0,4.0,0.0,0.0,28.6,14.3,14.3,0.0,28.6,0.0
2016-17,Regular+Season,NOP,New Orleans Pelicans,82,9.6,8.8,1.08,10.3,4.2,8.2,51.1,53.6,13.2,5.1,12.9,4.1,51.4,75.9
2016-17,Regular+Season,HOU,Houston Rockets,82,8.5,7.6,1.13,9.7,3.9,7.1,54.5,59.1,13.4,6.7,13.3,3.4,54.2,93.1
2016-17,Regular+Season,LAC,LA Clippers,82,8.2,7.7,1.15,9.5,3.7,6.9,54.0,58.4,15.4,5.3,15.1,4.1,54.7,100
2016-17,Regular+Season,IND,Indiana Pacers,82,9.4,8.8,0.99,9.3,4.0,8.3,48.5,51.0,7.0,6.8,7.0,2.2,47.3,24.1
2016-17,Regular+Season,DAL,Dallas Mavericks,82,8.5,8.4,1.07,9.1,3.7,7.5,50.0,54.2,8.6,4.7,8.5,1.7,50.5,72.4
2016-17,Regular+Season,OKC,Oklahoma City Thunder,82,8.7,7.7,1.05,9.1,3.7,7.1,51.4,54.1,11.9,8.1,11.8,2.1,50.8,44.8
2016-17,Regular+Season,MIN,Minnesota Timberwolves,82,7.9,7.3,1.14,9.0,3.3,6.2,53.4,58.3,14.5,9.1,13.8,2.3,53.6,96.6
2016-17,Regular+Season,BKN,Brooklyn Nets,82,7.7,6.9,1.09,8.4,3.1,6.4,49.0,55.6,11.1,7.4,11.1,1.6,49.8,82.8
2016-17,Regular+Season,ORL,Orlando Magic,82,8.8,8.1,0.93,8.2,3.4,7.7,44.2,48.2,7.9,6.8,7.8,2.2,43.7,3.4
2016-17,Regular+Season,SAS,San Antonio Spurs,82,8.3,7.8,0.97,8.1,3.4,7.0,48.3,49.9,9.4,8.2,8.7,2.2,47.5,17.2
2016-17,Regular+Season,CHA,Charlotte Hornets,82,7.6,7.2,1.05,8.0,3.1,6.4,48.4,53.5,12.6,6.5,11.7,2.7,49.0,51.7
2016-17,Regular+Season,BOS,Boston Celtics,82,7.3,6.8,1.05,7.7,3.1,6.4,48.8,55.5,6.5,7.5,6.3,1.5,47.3,48.3
2016-17,Regular+Season,MEM,Memphis Grizzlies,82,7.8,7.4,0.98,7.7,3.1,6.7,46.2,48.9,10.2,6.7,9.1,3.0,46.9,20.7
2016-17,Regular+Season,WAS,Washington Wizards,82,7.1,6.5,1.07,7.6,3.1,5.9,52.9,55.1,13.4,6.7,13.3,2.8,52.5,69.0
2016-17,Regular+Season,SAC,Sacramento Kings,82,7.2,6.8,1.03,7.5,2.8,5.8,48.3,52.6,13.0,8.0,12.9,2.0,49.2,41.4
2016-17,Regular+Season,PHI,Philadelphia 76ers,82,7.2,6.5,1.01,7.3,2.8,6.2,45.8,51.3,9.9,6.4,9.3,2.2,46.5,34.5
2016-17,Regular+Season,CHI,Chicago Bulls,82,7.8,7.1,0.94,7.3,3.1,6.8,45.9,47.7,8.3,6.3,8.0,1.6,46.6,6.9
2016-17,Regular+Season,CLE,Cleveland Cavaliers,82,6.7,6.2,1.07,7.2,2.6,5.5,47.6,53.6,14.3,5.6,13.1,2.4,49.5,65.5
2016-17,Regular+Season,ATL,Atlanta Hawks,82,7.8,7.1,0.91,7.1,2.8,6.4,43.5,47.3,10.7,9.7,9.8,2.0,43.5,0.0
2016-17,Regular+Season,DEN,Denver Nuggets,82,6.6,5.9,1.08,7.1,2.8,5.4,51.0,56.1,11.1,8.7,9.4,2.2,50.0,79.3
2016-17,Regular+Season,MIL,Milwaukee Bucks,82,6.3,6.0,1.12,7.1,2.8,5.4,53.0,58.1,11.2,6.4,11.4,3.1,51.8,89.7
2016-17,Regular+Season,DET,Detroit Pistons,82,7.1,6.5,0.99,7.0,2.9,6.0,48.3,50.9,10.5,7.1,10.2,2.1,48.2,27.6
2016-17,Regular+Season,UTA,Utah Jazz,82,6.5,6.4,1.06,7.0,2.8,5.3,52.9,54.6,16.8,7.8,16.8,5.0,52.9,62.1
2016-17,Regular+Season,TOR,Toronto Raptors,82,6.2,5.8,1.12,7.0,2.8,5.2,54.0,57.7,10.8,8.0,10.0,2.0,53.5,86.2
2016-17,Regular+Season,NYK,New York Knicks,82,6.7,6.0,1.03,6.9,2.7,5.6,48.4,51.7,11.9,6.9,11.5,3.7,48.6,37.9
2016-17,Regular+Season,MIA,Miami Heat,82,6.2,5.7,1.06,6.5,2.5,5.0,50.9,53.9,14.9,7.9,14.5,3.8,51.1,58.6
2016-17,Regular+Season,LAL,Los Angeles Lakers,82,6.4,5.8,1.00,6.4,2.7,5.2,52.1,53.5,10.4,10.4,10.4,2.1,49.9,31.0
2016-17,Regular+Season,POR,Portland Trail Blazers,82,6.5,5.9,0.94,6.1,2.3,5.2,44.9,49.6,12.8,10.0,12.6,3.0,44.3,13.8
2016-17,Regular+Season,PHX,Phoenix Suns,82,5.4,4.7,1.06,5.7,2.2,4.4,50.0,52.8,15.2,7.0,15.2,3.4,51.5,55.2
2016-17,Regular+Season,GSW,Golden State Warriors,82,4.4,4.0,0.94,4.1,1.6,3.4,47.2,48.8,14.4,10.2,14.9,3.0,46.4,10.3
2016-17,Playoffs,BOS,Boston Celtics,18,7.2,6.8,1.15,8.2,3.3,6.3,52.6,57.9,8.5,5.4,8.5,2.3,52.7,80.0
2016-17,Playoffs,CLE,Cleveland Cavaliers,18,6.5,6.1,1.21,7.8,2.9,5.3,55.2,64.1,14.5,6.0,14.5,2.6,56.4,93.3
2016-17,Playoffs,HOU,Houston Rockets,11,9.6,8.8,1.10,10.6,4.3,8.2,52.2,60.0,8.5,6.6,8.5,0.9,49.1,73.3
2016-17,Playoffs,GSW,Golden State Warriors,17,5.2,4.7,1.17,6.1,2.5,4.4,58.1,61.5,9.0,9.0,9.0,1.1,56.2,86.7
2016-17,Playoffs,LAC,LA Clippers,7,10.0,10.1,1.31,13.1,5.4,7.7,70.4,75.9,14.3,10.0,12.9,1.4,65.7,100
2016-17,Playoffs,WAS,Washington Wizards,13,6.4,5.8,0.96,6.2,2.5,5.3,46.4,49.3,13.3,3.6,13.3,0.0,48.2,26.7
2016-17,Playoffs,TOR,Toronto Raptors,10,8.8,8.7,0.91,8.0,3.4,7.6,44.7,47.4,6.8,5.7,8.0,0.0,44.3,20.0
2016-17,Playoffs,SAS,San Antonio Spurs,16,5.6,5.1,0.85,4.8,1.7,4.1,40.9,42.4,19.1,10.1,16.9,3.4,42.7,13.3
2016-17,Playoffs,UTA,Utah Jazz,11,6.1,6.2,1.00,6.1,2.2,4.3,51.1,54.3,20.9,9.0,19.4,0.0,55.2,42.9
2016-17,Playoffs,CHI,Chicago Bulls,6,7.3,7.0,1.07,7.8,3.0,6.2,48.6,55.4,6.8,9.1,6.8,0.0,47.7,66.7
2016-17,Playoffs,ATL,Atlanta Hawks,6,7.0,6.2,1.00,7.0,2.8,5.5,51.5,53.0,11.9,11.9,11.9,2.4,47.6,42.9
2016-17,Playoffs,IND,Indiana Pacers,4,8.3,7.6,1.03,8.5,4.0,7.3,55.2,58.6,3.0,9.1,3.0,0.0,48.5,53.3
2016-17,Playoffs,MIL,Milwaukee Bucks,6,5.2,5.1,1.06,5.5,2.2,4.7,46.4,53.6,6.5,6.5,6.5,3.2,45.2,60.0
2016-17,Playoffs,OKC,Oklahoma City Thunder,5,6.8,6.1,0.97,6.6,2.6,5.2,50.0,50.0,14.7,5.9,14.7,0.0,50.0,33.3
