SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,MIN,CATCH_SHOOT_PTS,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
2024-25,Pre+Season,ATL,1610612737,Atlanta Hawks,Jalen Johnson,1630552,3,23.0,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,SAC,1610612758,Sacramento Kings,Jalen McDaniels,1629667,2,12.6,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,DEN,1610612743,Denver Nuggets,Jalen Pickett,1629618,3,15.5,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,ORL,1610612753,Orlando Magic,Jalen Slawson,1641771,3,6.8,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,CHI,1610612741,Chicago Bulls,Jalen Smith,1630188,3,17.5,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,ORL,1610612753,Orlando Magic,Jalen Suggs,1630591,3,21.1,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,OKC,1610612760,Oklahoma City Thunder,Jalen Williams,1631114,4,16.7,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,BKN,1610612751,Brooklyn Nets,Jalen Wilson,1630592,4,24.7,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,NOP,1610612740,New Orleans Pelicans,Jamal Cain,1631288,3,11.6,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,DEN,1610612743,Denver Nuggets,Jamal Murray,1627750,4,20.3,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,TOR,1610612761,Toronto Raptors,Jamal Shead,1642347,5,15.2,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,DAL,1610612742,Dallas Mavericks,Jamarion Sharp,1642481,4,9.1,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,MIL,1610612749,Milwaukee Bucks,James Akinjo,1631231,1,5.0,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,LAC,1610612746,Los Angeles Clippers,James Harden,201935,4,18.8,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,IND,1610612754,Indiana Pacers,James Johnson,201949,1,5.9,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,IND,1610612754,Indiana Pacers,James Wiseman,1630164,4,12.8,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,TOR,1610612761,Toronto Raptors,Jamison Battle,1642419,5,9.8,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,IND,1610612754,Indiana Pacers,Jarace Walker,1641716,4,23.5,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,PHI,1610612755,Philadelphia 76ers,Jared Butler,1630215,5,14.3,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,PHI,1610612755,Philadelphia 76ers,Jared McCain,1642272,5,22.8,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,TOR,1610612761,Toronto Raptors,Jared Rhoden,1631197,3,5.9,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,CLE,1610612739,Cleveland Cavaliers,Jarrett Allen,1628386,4,23.1,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,ORL,1610612753,Orlando Magic,Jarrett Culver,1629633,2,8.9,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,UTA,1610612762,Utah Jazz,Jason Preston,1630554,2,7.2,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,DET,1610612765,Detroit Pistons,Javante McCoy,1631322,3,10.2,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,CLE,1610612739,Cleveland Cavaliers,Javonte Green,1629750,3,18.5,0.0,0.0,0.0,-,-,-,-,-
2024-25,Pre+Season,ORL,1610612753,Orlando Magic,Javonte Smart,1630606,1,6.2,0.0,0.0,0.0,-,-,-,-,-
