SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
2024-25,IST,PHI,Philadelphia 76ers,4,2,2,240.0,42.5,8.3,16.8,49.3,5.3,6.0,87.5,23.0,54.1,19.3,45.3,4.0,9.4,2.3,5.3,3.0,7.1
2024-25,IST,PHX,Phoenix Suns,4,3,1,240.0,46.8,9.3,19.8,46.8,5.5,6.5,84.6,24.0,51.3,19.0,40.6,4.5,9.6,2.5,5.3,3.3,7.0
2024-25,IST,POR,Portland Trail Blazers,4,2,2,240.0,56.5,11.0,22.8,48.4,5.5,6.3,88.0,28.8,50.9,23.0,40.7,6.5,11.5,5.8,10.2,3.3,5.8
2024-25,IST,SAC,Sacramento Kings,4,1,3,246.3,47.3,9.8,19.5,50.0,5.5,6.5,84.6,25.8,54.5,21.5,45.5,5.3,11.1,2.0,4.2,3.3,6.9
2024-25,IST,SAS,San Antonio Spurs,4,2,2,240.0,36.5,7.0,16.0,43.8,4.5,6.0,75.0,19.5,53.4,12.5,34.2,4.0,11.0,4.5,12.3,3.0,8.2
2024-25,IST,TOR,Toronto Raptors,4,1,3,240.0,44.8,8.8,20.8,42.2,3.0,4.5,66.7,20.5,45.8,16.8,37.4,5.0,11.2,3.0,6.7,2.3,5.0
2024-25,IST,UTA,Utah Jazz,4,0,4,240.0,43.5,10.3,19.8,51.9,5.3,6.0,87.5,27.3,62.6,17.0,39.1,4.8,10.9,2.5,5.7,3.0,6.9
2024-25,IST,WAS,Washington Wizards,4,0,4,240.0,48.8,10.3,23.0,44.6,5.3,8.0,65.6,26.3,53.8,16.3,33.3,3.3,6.7,4.0,8.2,4.0,8.2
2025-26,Regular+Season,ATL,Atlanta Hawks,39,18,21,241.3,50.4,10.1,21.2,47.9,4.7,6.1,78.4,25.9,51.4,21.5,42.6,5.7,11.3,3.2,6.4,3.1,6.2
2025-26,Regular+Season,BOS,Boston Celtics,36,23,13,240.0,44.4,11.8,22.0,53.6,4.5,5.6,79.7,28.9,65.1,15.8,35.4,4.1,9.3,2.5,5.6,2.9,6.5
2025-26,Regular+Season,BKN,Brooklyn Nets,34,11,23,240.7,43.0,9.4,19.9,47.3,6.4,8.2,78.8,26.1,60.8,15.2,35.3,3.9,9.0,2.7,6.4,4.1,9.6
2025-26,Regular+Season,CHA,Charlotte Hornets,37,13,24,242.0,56.6,12.0,26.1,46.0,7.1,8.3,85.7,31.8,56.2,20.6,36.5,5.3,9.4,4.2,7.5,4.2,7.5
2025-26,Regular+Season,CHI,Chicago Bulls,37,17,20,241.4,58.7,11.3,23.3,48.4,6.8,8.5,80.1,30.1,51.4,25.5,43.5,5.6,9.6,3.8,6.5,4.4,7.5
2025-26,Regular+Season,CLE,Cleveland Cavaliers,38,21,17,241.3,44.4,9.9,19.1,51.7,3.9,5.1,78.1,24.6,55.3,18.5,41.7,4.3,9.7,2.8,6.3,2.6,5.8
2025-26,Regular+Season,DAL,Dallas Mavericks,37,14,23,243.4,53.9,12.9,25.9,49.6,6.2,7.8,80.1,32.8,60.7,19.1,35.5,4.6,8.5,3.2,6.0,3.9,7.3
2025-26,Regular+Season,DEN,Denver Nuggets,37,25,12,242.7,32.4,7.5,15.4,49.1,3.7,4.4,83.4,19.4,59.9,12.3,37.8,3.7,11.4,2.0,6.1,2.2,6.8
2025-26,Regular+Season,DET,Detroit Pistons,36,27,9,241.4,45.6,10.3,21.6,47.6,5.6,6.8,82.3,27.0,59.2,17.0,37.2,4.4,9.6,2.8,6.0,3.4,7.5
2025-26,Regular+Season,GSW,Golden State Warriors,38,20,18,241.3,42.8,8.0,16.3,49.0,5.6,6.6,84.5,22.2,51.8,18.9,44.3,3.8,9.0,2.9,6.8,3.3,7.8
2025-26,Regular+Season,HOU,Houston Rockets,34,22,12,244.4,44.5,11.0,21.8,50.5,4.9,5.9,83.6,27.8,62.4,15.5,34.9,3.7,8.3,3.3,7.5,3.0,6.8
2025-26,Regular+Season,IND,Indiana Pacers,37,6,31,241.4,54.9,11.8,24.4,48.4,7.1,8.9,79.3,31.6,57.5,21.2,38.6,4.3,7.8,3.2,5.8,4.5,8.2
2025-26,Regular+Season,LAC,LA Clippers,36,13,23,241.4,40.0,8.3,17.3,47.7,6.2,7.6,81.8,23.4,58.4,15.0,37.5,3.9,9.6,2.8,6.9,3.8,9.6
