SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS
2015-16,Pre+Season,Jared Sullinger,203096,BOS,24,7,6,1,15.7,100.0,85.9,14.1,21.9,1.17,15.6,11.5,26.2,19.0,13.3,39.8,42.4,27.5,101.96,13.5,233
2015-16,Pre+Season,Jason Smith,201160,ORL,30,7,6,1,17.2,107.4,106.6,0.8,14.3,2.75,19.3,6.4,12.2,9.2,7.0,40.5,45.9,16.2,96.59,7.9,243
2015-16,Pre+Season,Jeff Withey,203481,UTA,26,7,3,4,11.3,114.6,104.9,9.7,7.8,4.00,17.4,8.2,16.5,12.8,4.3,81.8,87.4,10.5,98.88,16.8,164
2015-16,Pre+Season,Jeremy Evans,202379,DAL,28,7,0,7,19.4,100.7,97.2,3.5,5.9,1.25,11.4,2.8,16.2,9.8,9.1,39.4,41.7,12.0,101.94,6.4,288
2015-16,Pre+Season,Jodie Meeks,201975,DET,28,7,2,5,22.0,101.9,105.4,-3.5,12.4,4.00,16.0,0.0,3.2,1.6,4.0,50.9,55.8,17.6,98.75,9.0,317
2015-16,Pre+Season,Joe Harris,203925,CLE,24,7,1,6,18.9,96.8,103.6,-6.8,7.6,0.67,9.4,2.4,6.3,4.3,14.1,40.0,42.3,18.9,101.59,1.4,280
2015-16,Pre+Season,John Jenkins,203098,PHX,25,7,0,7,28.4,82.5,100.0,-17.5,14.3,0.55,7.6,1.4,10.9,6.1,13.9,54.5,60.5,28.5,102.10,16.3,422
2015-16,Pre+Season,Jonas Jerebko,201973,BOS,29,7,6,1,16.1,94.4,85.4,8.9,1.4,0.10,2.0,8.5,11.4,10.0,20.4,45.2,52.0,17.2,105.26,5.6,248
2015-16,Pre+Season,Jonas Valančiūnas,202685,TOR,24,7,5,2,20.1,108.4,100.7,7.6,1.3,0.08,1.4,7.7,26.2,16.5,17.6,56.0,60.4,22.9,92.74,14.1,275
2015-16,Pre+Season,Jordan McRae,203895,CLE,25,7,2,5,19.9,89.7,101.3,-11.6,13.6,0.79,12.5,2.0,9.7,5.7,15.9,31.5,39.8,22.8,107.49,2.4,310
2015-16,Pre+Season,Jordan Mickey,1626175,BOS,21,7,6,1,9.8,98.6,93.1,5.5,5.6,0.67,4.9,14.1,0.0,0.0,7.3,56.3,56.3,23.2,100.88,18.0,143
2015-16,Pre+Season,Josh Harrellson,202725,WAS,27,7,4,3,7.3,96.6,95.9,0.7,12.1,1.00,13.3,5.1,16.4,10.5,13.3,61.9,61.7,21.0,111.24,11.8,117
