SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
2015-16,Playoffs,DET,Detroit Pistons,12.8,21.5,59.3,3.5,9.3,37.8,4.3,8.5,50.0,2.8,8.0,34.4,7.5,17.8,42.3,7.5,18.0,41.7
2015-16,Playoffs,GSW,Golden State Warriors,16.3,30.0,54.4,3.3,8.5,39.4,3.2,8.5,37.3,4.3,11.0,39.2,5.6,15.0,37.3,4.6,13.5,34.1
2015-16,Playoffs,HOU,Houston Rockets,17.4,25.6,68.0,3.4,8.8,38.6,2.8,8.4,33.3,4.2,10.4,40.4,6.4,14.6,43.8,6.4,15.2,42.1
2015-16,Playoffs,IND,Indiana Pacers,14.7,29.1,50.5,2.9,7.4,38.5,2.4,5.3,45.9,3.4,11.4,30.0,5.6,15.3,36.4,3.4,13.9,24.7
2015-16,Playoffs,LAC,LA Clippers,15.7,28.7,54.7,2.2,6.7,32.5,2.3,6.8,34.1,4.8,13.5,35.8,4.2,11.3,36.8,6.0,18.0,33.3
2015-16,Playoffs,MEM,Memphis Grizzlies,15.5,24.8,62.6,2.5,6.8,37.0,3.3,8.0,40.6,4.8,12.8,37.3,8.8,17.8,49.3,2.3,5.8,39.1
2015-16,Playoffs,MIA,Miami Heat,15.3,28.1,54.5,3.8,10.4,36.3,3.3,8.1,40.7,5.1,14.8,34.3,4.3,12.7,33.7,2.2,7.5,29.5
2015-16,Playoffs,OKC,Oklahoma City Thunder,16.3,30.1,54.2,3.8,8.2,46.6,3.2,8.8,36.5,4.6,11.4,39.8,6.7,16.7,40.2,3.2,9.0,35.8
2015-16,Playoffs,POR,Portland Trail Blazers,16.8,27.0,62.3,3.4,8.5,39.4,4.2,10.3,40.7,5.3,13.1,40.3,5.0,12.0,41.7,5.0,14.6,34.2
2015-16,Playoffs,SAS,San Antonio Spurs,16.8,32.0,52.5,1.8,6.0,30.0,2.5,6.1,41.0,6.2,14.0,44.3,5.5,16.0,34.4,2.0,6.6,30.3
2015-16,Playoffs,TOR,Toronto Raptors,15.2,25.6,59.2,3.5,8.5,41.4,2.6,5.9,43.2,5.4,12.2,44.4,5.8,16.3,35.3,3.3,8.6,38.0
2015-16,All+Star,East NBA All Stars East,East NBA All Stars East,44.0,52.0,84.6,0.0,1.0,0.0,4.0,6.0,66.7,2.0,8.0,25.0,17.0,43.0,39.5,13.0,32.0,40.6
2015-16,All+Star,West NBA All Stars West,West NBA All Stars West,48.0,58.0,82.8,0.0,2.0,0.0,1.0,2.0,50.0,4.0,12.0,33.3,14.0,40.0,35.0,7.0,18.0,38.9
2016-17,Pre+Season,ATL,Atlanta Hawks,13.4,26.3,51.1,3.4,8.0,42.9,1.9,6.1,30.2,5.7,13.4,42.6,6.3,20.3,31.0,2.3,9.0,25.4
2016-17,Pre+Season,Barcelona FC Barcelona Lassa,Barcelona FC Barcelona Lassa,18.0,29.0,62.1,3.0,5.0,60.0,4.0,7.0,57.1,2.0,6.0,33.3,6.0,13.0,46.2,0.0,5.0,0.0
2016-17,Pre+Season,BOS,Boston Celtics,17.9,29.9,59.8,3.0,7.9,38.2,2.6,7.9,32.7,4.1,9.0,46.0,5.4,15.4,35.2,3.7,15.4,24.1
2016-17,Pre+Season,BKN,Brooklyn Nets,19.3,29.0,66.7,3.7,7.8,46.8,3.0,7.5,40.0,5.0,11.7,42.9,6.8,18.8,36.3,3.8,11.8,32.4
2016-17,Pre+Season,Buenos Aires San Lorenzo,Buenos Aires San Lorenzo,23.0,31.0,74.2,6.0,16.0,37.5,3.0,3.0,100,4.0,5.0,80.0,6.0,13.0,46.2,5.0,9.0,55.6
2016-17,Pre+Season,CHA,Charlotte Hornets,15.1,26.7,56.7,2.0,6.7,29.8,2.3,5.1,44.4,6.0,14.4,41.6,7.3,22.0,33.1,4.9,14.4,33.7
2016-17,Pre+Season,CHI,Chicago Bulls,15.6,28.6,54.5,3.3,8.4,39.0,2.6,6.9,37.5,5.9,12.9,45.6,5.3,15.7,33.6,4.9,13.6,35.8
2016-17,Pre+Season,CLE,Cleveland Cavaliers,19.3,29.5,65.5,3.7,7.5,48.9,2.3,7.8,29.8,3.7,11.0,33.3,5.5,15.5,35.5,3.8,11.2,34.3
