SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,VS_PLAYER_NAME,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2016-17,All+Star,,1962937623,WST,1,0,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0,0,0
2016-17,All+Star,,1962937621,EST,1,1,0,47.2,22.2,92.6,24.0,5.6,44.4,12.5,5.6,11.1,50.0,18.5,24.1,42.6,7.4,14.8,7.4,3.7,1.9,9.3,9.3,55.6,-68.5,0,0
2016-17,All+Star,,1962937619,EST,1,1,0,57.5,30.0,90.0,33.3,5.0,35.0,14.3,0.0,0.0,0.0,15.0,15.0,30.0,5.0,20.0,20.0,0.0,0.0,20.0,0.0,65.0,-55.0,0,0
2016-17,All+Star,,1962937620,EST,1,1,0,46.1,25.4,91.5,27.8,6.8,44.1,15.4,5.1,10.2,50.0,18.6,32.2,50.8,10.2,16.9,6.8,3.4,1.7,8.5,8.5,62.7,-50.8,0,0
2016-17,All+Star,,1962937611,EST,1,1,0,47.6,24.5,93.9,26.1,6.1,49.0,12.5,4.1,8.2,50.0,18.4,34.7,53.1,10.2,16.3,6.1,2.0,0.0,12.2,8.2,59.2,-49.0,0,0
2016-17,All+Star,,1962937618,EST,1,1,0,49.0,21.9,103.1,21.2,0.0,46.9,0.0,18.8,31.3,60.0,31.3,28.1,59.4,9.4,12.5,15.6,0.0,3.1,25.0,18.8,62.5,-40.6,0,0
2016-17,All+Star,,1962937612,EST,1,1,0,47.3,25.0,98.3,25.4,5.0,41.7,12.0,11.7,20.0,58.3,25.0,31.7,56.7,11.7,15.0,10.0,3.3,3.3,18.3,13.3,66.7,-36.7,0,0
2016-17,All+Star,,1962937615,EST,1,1,0,51.4,34.6,88.5,39.1,3.8,26.9,14.3,0.0,0.0,0.0,11.5,15.4,26.9,11.5,15.4,23.1,0.0,0.0,23.1,3.8,73.1,-26.9,0,0
2016-17,All+Star,,1962937616,EST,1,1,0,39.8,31.8,95.5,33.3,6.8,27.3,25.0,11.4,18.2,62.5,20.5,29.5,50.0,18.2,11.4,15.9,4.5,4.5,22.7,13.6,81.8,-15.9,0,0
2016-17,All+Star,,1962937613,EST,1,1,0,38.4,35.3,82.4,42.9,5.9,17.6,33.3,5.9,11.8,50.0,11.8,17.6,29.4,17.6,11.8,17.6,5.9,5.9,11.8,11.8,82.4,-11.8,0,0
2016-17,All+Star,,1962937602,WST,1,0,1,47.4,30.8,74.4,41.4,0.0,15.4,0.0,28.2,48.7,57.9,23.1,41.0,64.1,17.9,23.1,5.1,2.6,2.6,12.8,30.8,89.7,2.6,0,0
2016-17,All+Star,,1962937614,EST,1,1,0,50.1,37.5,108.3,34.6,0.0,16.7,0.0,16.7,25.0,66.7,29.2,16.7,45.8,16.7,8.3,33.3,0.0,4.2,41.7,16.7,91.7,4.2,0,0
2016-17,All+Star,,1962937604,WST,1,0,1,39.1,32.4,73.0,44.4,0.0,10.8,0.0,27.0,51.4,52.6,16.2,43.2,59.5,21.6,24.3,8.1,5.4,2.7,13.5,27.0,91.9,8.1,0,0
2016-17,All+Star,,1962937617,EST,1,1,0,43.8,41.2,105.9,38.9,5.9,35.3,16.7,0.0,0.0,0.0,29.4,41.2,70.6,17.6,17.6,23.5,0.0,0.0,17.6,0.0,88.2,17.6,0,0
2016-17,All+Star,,1962937622,EST,1,1,0,54.8,38.1,104.8,36.4,0.0,9.5,0.0,19.0,28.6,66.7,28.6,19.0,47.6,14.3,4.8,28.6,0.0,4.8,47.6,19.0,95.2,19.0,0,0
2016-17,All+Star,,1962937596,WST,1,0,1,43.1,41.2,97.1,42.4,5.9,26.5,22.2,11.8,20.6,57.1,23.5,35.3,58.8,23.5,20.6,11.8,2.9,2.9,8.8,11.8,100.0,20.6,0,0
2016-17,All+Star,,1962937606,WST,1,0,1,45.6,36.8,94.7,38.9,5.3,31.6,16.7,10.5,18.4,57.1,15.8,44.7,60.5,18.4,13.2,7.9,0.0,2.6,13.2,13.2,89.5,23.7,0,0
2016-17,All+Star,,1962937598,WST,1,0,1,49.7,33.3,66.7,50.0,0.0,14.8,0.0,29.6,51.9,57.1,3.7,44.4,48.1,14.8,14.8,7.4,3.7,0.0,18.5,29.6,96.3,29.6,0,0
2016-17,All+Star,,1962937601,WST,1,0,1,62.0,42.1,100.0,42.1,5.3,26.3,20.0,15.8,21.1,75.0,42.1,42.1,84.2,21.1,21.1,15.8,0.0,0.0,0.0,26.3,105.3,36.8,0,0
2016-17,All+Star,,1962937599,WST,1,0,1,47.5,46.9,100.0,46.9,7.8,29.7,26.3,4.7,7.8,60.0,20.3,42.2,62.5,21.9,14.1,10.9,1.6,3.1,9.4,10.9,106.3,39.1,0,0
2016-17,All+Star,,1962937605,WST,1,0,1,47.7,45.2,85.7,52.8,0.0,11.9,0.0,14.3,26.2,54.5,11.9,50.0,61.9,23.8,14.3,4.8,4.8,4.8,16.7,21.4,104.8,45.2,0,0
2016-17,All+Star,,1962937603,WST,1,0,1,51.2,48.5,92.6,52.4,7.4,25.0,29.4,13.2,20.6,64.3,20.6,44.1,64.7,22.1,17.6,10.3,2.9,2.9,11.8,17.6,117.6,50.0,0,0
2016-17,All+Star,,1962937607,WST,1,0,1,67.0,55.6,100.0,55.6,22.2,33.3,66.7,33.3,44.4,75.0,44.4,44.4,88.9,11.1,22.2,0.0,0.0,0.0,0.0,22.2,166.7,66.7,0,0
2016-17,All+Star,,1962937600,WST,1,0,1,54.5,50.0,100.0,50.0,20.8,41.7,50.0,16.7,25.0,66.7,33.3,50.0,83.3,20.8,25.0,16.7,0.0,0.0,4.2,20.8,137.5,75.0,0,0
