SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
2015-16,Pre+Season,POR,,31,15,16,20.9,10.3,2.7,47.3,4.8,36.0,1.8,32.4,0.3,100,0.0,0.0,0.1,100,48.8,0,0
2015-16,Pre+Season,DAL,,31,11,20,10.0,1.8,0.6,33.3,0.3,21.1,0.1,16.7,0.1,33.3,0.0,0.0,0.1,50.0,37.9,0,0
2015-16,Pre+Season,LAC,,24,8,16,8.8,3.2,0.8,21.1,1.0,34.8,0.2,14.3,0.4,50.0,0.0,0.0,0.1,100,40.4,0,0
2015-16,Pre+Season,MEM,,37,15,22,23.7,12.0,2.3,45.2,3.8,48.0,5.4,48.8,0.6,69.2,0.0,0.0,0.2,60.0,62.6,0,0
2015-16,Pre+Season,BKN,,14,3,11,25.4,19.6,8.6,48.3,1.9,37.5,7.9,39.7,0.6,75.0,0.0,0.0,0.4,66.7,49.3,0,0
2015-16,Pre+Season,WAS,,21,3,18,16.9,9.2,1.3,37.5,0.9,37.5,1.8,25.9,2.3,61.1,0.2,100,0.5,50.0,50.3,0,0
2015-16,Pre+Season,DEN,,28,20,8,30.6,11.7,1.1,33.3,4.8,40.2,1.9,42.0,1.2,84.2,0.0,0.0,0.6,63.6,57.1,0,0
2015-16,Pre+Season,DET,,28,20,8,20.0,8.3,2.0,40.7,2.6,40.3,1.6,31.0,0.6,77.8,0.0,0.0,0.4,80.0,52.9,0,0
2015-16,Pre+Season,SAS,,29,21,8,7.6,2.1,0.2,37.5,0.9,23.7,0.2,42.9,0.3,50.0,0.0,0.0,0.0,0.0,38.9,0,0
2015-16,Pre+Season,OKC,,37,30,7,27.0,7.5,1.1,31.7,3.6,35.2,0.6,36.0,0.3,46.2,0.0,0.0,0.2,80.0,51.2,0,0
2015-16,Pre+Season,MEM,,35,14,21,26.7,13.7,3.3,46.4,3.7,33.8,1.8,37.0,2.7,75.0,0.2,100,0.5,77.8,53.6,0,0
2015-16,Pre+Season,MEM,,2,0,2,15.3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,40.0,0.0,0.0,0.5,0.0,37.5,0,0
2015-16,Pre+Season,DET,,16,15,1,9.6,3.3,0.1,50.0,2.8,37.5,0.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0
2015-16,Pre+Season,OKC,,33,27,6,29.0,18.2,3.4,55.9,4.4,40.9,1.9,46.9,6.6,74.6,0.8,58.8,1.4,61.8,63.3,0,0
2015-16,Pre+Season,BOS,,8,3,5,11.3,2.3,0.0,0.0,0.4,9.1,0.0,0.0,1.0,80.0,0.0,0.0,0.3,100,34.1,0,0
2015-16,Pre+Season,CLE,,3,2,1,5.8,3.0,1.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,0,0
2015-16,Pre+Season,LAL,,4,1,3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
