SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2016-17,pre-season,-,10/21/2016,W,48,13,16,26,32,17,5,23,48,0
2016-17,pre-season,-,10/21/2016,L,48,17,5,23,48,13,16,26,32,0
2016-17,pre-season,-,10/21/2016,L,48,19,15,16,42,17,17,4,42,0
2016-17,pre-season,-,10/21/2016,L,48,16,12,24,36,27,22,19,44,0
2016-17,pre-season,-,10/21/2016,L,48,16,8,9,44,26,20,12,46,0
2016-17,pre-season,-,10/21/2016,L,48,17,6,22,38,16,10,17,48,0
2016-17,pre-season,-,10/21/2016,L,48,14,9,7,26,31,19,25,48,0
2016-17,pre-season,-,10/21/2016,L,48,10,8,5,28,18,17,18,52,0
2016-17,pre-season,-,10/20/2016,W,48,17,12,12,42,17,20,6,32,0
2016-17,pre-season,-,10/20/2016,W,48,13,18,12,34,19,13,16,32,0
2016-17,pre-season,-,10/20/2016,W,53,24,17,18,50,18,14,11,48,0
2016-17,pre-season,-,10/20/2016,W,48,22,17,22,52,37,8,18,48,0
2016-17,pre-season,-,10/20/2016,L,48,19,13,16,32,13,18,12,34,0
2016-17,pre-season,-,10/20/2016,L,48,17,20,6,32,17,12,12,42,0
2016-17,pre-season,-,10/20/2016,L,53,18,14,11,48,24,17,18,50,0
2016-17,pre-season,-,10/20/2016,L,48,37,8,18,48,22,17,22,52,0
2016-17,pre-season,-,10/19/2016,W,48,20,11,25,40,14,8,14,26,0
2016-17,pre-season,-,10/19/2016,W,48,8,7,4,36,28,4,9,30,0
2016-17,pre-season,-,10/19/2016,W,48,22,12,20,50,22,19,26,30,0
2016-17,pre-season,-,10/19/2016,W,48,28,11,13,42,22,19,22,36,0
2016-17,pre-season,-,10/19/2016,W,48,21,20,12,44,5,4,9,40,0
2016-17,pre-season,-,10/19/2016,W,48,26,20,21,54,15,17,7,44,0
2016-17,pre-season,-,10/19/2016,W,48,16,15,14,48,29,10,26,48,0
2016-17,pre-season,-,10/19/2016,L,48,28,4,9,30,8,7,4,36,0
2016-17,pre-season,-,10/19/2016,L,48,14,8,14,26,20,11,25,40,0
2016-17,pre-season,-,10/19/2016,L,48,22,19,22,36,28,11,13,42,0
2016-17,pre-season,-,10/19/2016,L,48,5,4,9,40,21,20,12,44,0
2016-17,pre-season,-,10/19/2016,L,48,29,10,26,48,16,15,14,48,0
2016-17,pre-season,-,10/19/2016,L,48,22,19,26,30,22,12,20,50,0
2016-17,pre-season,-,10/19/2016,L,48,15,17,7,44,26,20,21,54,0
2016-17,pre-season,-,10/18/2016,W,48,18,13,4,46,25,5,16,34,0
2016-17,pre-season,-,10/18/2016,W,48,18,18,12,58,18,24,9,36,0
2016-17,pre-season,-,10/18/2016,W,48,24,11,11,40,14,4,22,36,0
2016-17,pre-season,-,10/18/2016,W,48,20,7,10,30,14,14,25,36,0
2016-17,pre-season,-,10/18/2016,W,48,15,9,17,54,9,14,8,40,0
2016-17,pre-season,-,10/18/2016,L,48,14,14,25,36,20,7,10,30,0
2016-17,pre-season,-,10/18/2016,L,48,14,4,22,36,24,11,11,40,0
2016-17,pre-season,-,10/18/2016,L,48,25,5,16,34,18,13,4,46,0
2016-17,pre-season,-,10/18/2016,L,48,9,14,8,40,15,9,17,54,0
