SEASON,SEASON_TYPE,TEAM_ID,TEAM_ABB,GAME_ID,MATCHUP,HOME_AWAY,GDATE,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2015-16,pre-season,1610612754,IND,0011500014,IND@DET,AWAY,06/10/2015,W,240,115,38,85,44.7,10,22,45.5,29,35,82.9,18,28,46,16,10,3,13,23,3
2015-16,pre-season,1610612755,PHI,0011500011,PHI@WAS,AWAY,06/10/2015,L,240,95,37,82,45.1,9,30,30.0,12,18,66.7,6,36,42,22,6,8,24,20,-34
2015-16,pre-season,1610612763,MEM,0011500013,MEMvs.HOU,HOME,06/10/2015,W,240,92,30,77,39.0,7,19,36.8,25,29,86.2,8,39,47,16,6,5,24,28,3
2015-16,pre-season,1610612764,WAS,0011500011,WASvs.PHI,HOME,06/10/2015,W,240,129,48,96,50.0,15,26,57.7,18,22,81.8,9,38,47,36,10,2,14,15,34
2015-16,pre-season,1610612765,DET,0011500014,DETvs.IND,HOME,06/10/2015,L,240,112,39,80,48.8,13,29,44.8,21,27,77.8,11,30,41,25,5,3,20,28,-3
2015-16,pre-season,12321,FEN,0011500008,FEN@BKN,AWAY,05/10/2015,W,240,101,37,76,48.7,11,21,52.4,16,18,88.9,10,30,40,26,7,4,19,23,5
2015-16,pre-season,1610612744,GSW,0011500009,GSWvs.TOR,HOME,05/10/2015,W,240,95,35,70,50.0,7,17,41.2,18,24,75.0,4,33,37,29,8,7,17,22,8
2015-16,pre-season,1610612751,BKN,0011500008,BKNvs.FEN,HOME,05/10/2015,L,240,96,35,81,43.2,7,18,38.9,19,28,67.9,13,27,40,16,12,7,11,19,-5
2015-16,pre-season,1610612757,POR,0011500007,PORvs.SAC,HOME,05/10/2015,L,265,105,42,99,42.4,10,31,32.3,11,16,68.8,19,33,52,24,11,4,23,30,-4
2015-16,pre-season,1610612758,SAC,0011500007,SAC@POR,AWAY,05/10/2015,W,265,109,42,91,46.2,7,26,26.9,18,28,64.3,14,36,50,25,10,5,23,18,4
2015-16,pre-season,1610612761,TOR,0011500009,TOR@GSW,AWAY,05/10/2015,L,240,87,32,85,37.6,4,16,25.0,19,23,82.6,15,33,48,15,10,0,17,19,-8
2015-16,pre-season,1610612746,LAC,0011500005,LAC@TOR,AWAY,04/10/2015,L,240,73,27,71,38.0,5,15,33.3,14,20,70.0,5,28,33,16,6,3,25,29,-20
2015-16,pre-season,1610612747,LAL,0011500004,LALvs.UTA,HOME,04/10/2015,L,240,71,26,90,28.9,6,23,26.1,13,21,61.9,14,34,48,11,8,6,13,31,-19
2015-16,pre-season,1610612748,MIA,0011500006,MIAvs.CHA,HOME,04/10/2015,L,240,77,30,81,37.0,3,16,18.8,14,20,70.0,9,39,48,19,9,4,14,24,-13
2015-16,pre-season,1610612761,TOR,0011500005,TORvs.LAC,HOME,04/10/2015,W,240,93,31,73,42.5,2,11,18.2,29,36,80.6,9,39,48,11,12,6,21,25,20
2015-16,pre-season,1610612762,UTA,0011500004,UTA@LAL,AWAY,04/10/2015,W,240,90,27,73,37.0,2,15,13.3,34,48,70.8,12,48,60,20,9,4,17,21,19
2015-16,pre-season,1610612766,CHA,0011500006,CHA@MIA,AWAY,04/10/2015,W,240,90,26,74,35.1,12,29,41.4,26,31,83.9,7,45,52,13,7,1,16,19,13
2015-16,pre-season,1610612740,NOP,0011500003,NOP@IND,AWAY,03/10/2015,W,240,110,37,103,35.9,11,32,34.4,25,37,67.6,19,36,55,16,9,3,11,22,5
