SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Playoffs,IND,Indiana Pacers,7,6.7,6.8,0.53,3.6,0.6,1.3,44.4,50.0,19.1,61.7,0.0,0.0,27.7,33.3
2015-16,Playoffs,DAL,Dallas Mavericks,5,6.8,6.6,0.53,3.6,0.2,1.2,16.7,16.7,38.2,44.1,2.9,0.0,32.4,20.0
2015-16,Playoffs,DET,Detroit Pistons,4,5.5,5.9,0.64,3.5,0.0,0.8,0.0,0.0,63.6,22.7,0.0,0.0,50.0,66.7
2015-16,Playoffs,HOU,Houston Rockets,5,10.0,8.6,0.26,2.6,0.4,2.0,20.0,20.0,24.0,56.0,2.0,0.0,16.0,6.7
2015-16,Playoffs,MEM,Memphis Grizzlies,4,8.3,7.9,0.18,1.5,0.5,1.8,28.6,35.7,9.1,69.7,3.0,0.0,9.1,0.0
2016-17,Pre+Season,PHI,Philadelphia 76ers,7,9.0,8.0,0.71,6.4,1.3,2.1,60.0,66.7,23.8,55.6,3.2,3.2,34.9,84.4
2016-17,Pre+Season,PHX,Phoenix Suns,6,12.0,9.8,0.63,7.5,1.2,2.5,47.0,46.7,29.6,49.3,2.8,0.0,36.6,71.9
2016-17,Pre+Season,DEN,Denver Nuggets,7,10.0,8.1,0.64,6.1,1.3,3.1,41.0,40.9,28.4,40.3,6.0,1.5,35.8,75.0
2016-17,Pre+Season,UTA,Utah Jazz,6,11.0,10.4,0.57,6.3,0.7,1.3,50.0,50.0,28.4,62.7,4.5,3.0,31.3,65.6
2016-17,Pre+Season,IND,Indiana Pacers,6,7.0,6.7,0.84,6.0,2.0,3.5,57.0,61.9,16.3,39.5,11.6,4.7,39.5,96.9
2016-17,Pre+Season,DAL,Dallas Mavericks,6,10.0,9.6,0.58,6.0,1.5,2.7,56.0,59.4,24.2,53.2,6.5,3.2,32.3,68.8
2016-17,Pre+Season,WAS,Washington Wizards,7,8.0,7.1,0.55,4.4,0.9,2.0,43.0,50.0,19.6,58.9,3.6,3.6,26.8,62.5
2016-17,Pre+Season,MIN,Minnesota Timberwolves,4,10.0,9.0,0.75,7.5,1.5,3.5,43.0,46.4,25.0,42.5,10.0,2.5,37.5,90.6
2016-17,Pre+Season,MIA,Miami Heat,6,7.0,5.4,0.73,5.0,1.3,1.7,80.0,90.0,24.4,51.2,0.0,0.0,43.9,87.5
2016-17,Pre+Season,BKN,Brooklyn Nets,6,8.0,6.7,0.67,5.0,0.7,1.8,36.0,40.9,31.1,44.4,4.4,0.0,40.0,78.1
2016-17,Pre+Season,CHA,Charlotte Hornets,7,10.0,8.1,0.42,4.3,0.3,1.6,18.0,18.2,20.8,63.9,1.4,0.0,23.6,25.0
2016-17,Pre+Season,LAC,LA Clippers,6,7.0,6.8,0.67,4.8,0.7,1.7,40.0,40.0,27.9,51.2,2.3,2.3,34.9,81.3
2016-17,Pre+Season,SAC,Sacramento Kings,6,10.0,9.6,0.45,4.7,0.8,1.8,45.0,45.5,19.4,62.9,6.5,0.0,25.8,37.5
2016-17,Pre+Season,LAL,Los Angeles Lakers,8,9.0,7.8,0.39,3.5,0.6,2.4,26.0,26.3,19.4,54.2,1.4,0.0,23.6,16.1
2016-17,Pre+Season,ORL,Orlando Magic,6,9.0,8.3,0.46,4.3,0.8,2.2,38.0,38.5,23.2,53.6,7.1,0.0,28.6,43.8
2016-17,Pre+Season,POR,Portland Trail Blazers,7,9.0,7.8,0.40,3.4,0.9,1.9,46.0,50.0,15.0,63.3,0.0,0.0,21.7,21.9
2016-17,Pre+Season,HOU,Houston Rockets,7,7.0,6.0,0.46,3.3,0.6,2.4,24.0,26.5,18.0,48.0,2.0,0.0,26.0,40.6
2016-17,Pre+Season,NOP,New Orleans Pelicans,5,10.0,9.2,0.45,4.6,0.4,3.4,12.0,11.8,23.5,45.1,5.9,2.0,25.5,34.4
2016-17,Pre+Season,GSW,Golden State Warriors,7,9.0,8.5,0.35,3.3,1.0,1.9,54.0,57.7,7.7,72.3,3.1,0.0,18.5,12.5
2016-17,Pre+Season,DET,Detroit Pistons,6,8.0,8.0,0.44,3.7,0.8,2.3,36.0,39.3,16.0,56.0,0.0,0.0,26.0,31.3
2016-17,Pre+Season,TOR,Toronto Raptors,7,6.0,5.8,0.48,3.0,0.7,1.4,50.0,55.0,18.2,59.1,2.3,0.0,27.3,54.8
2016-17,Pre+Season,MEM,Memphis Grizzlies,6,7.0,6.3,0.48,3.5,0.2,1.8,9.0,9.1,27.3,47.7,2.3,0.0,29.5,54.8
2016-17,Pre+Season,SAS,San Antonio Spurs,5,9.0,8.3,0.47,4.2,1.4,2.6,54.0,65.4,6.7,64.4,6.7,2.2,20.0,50.0
