SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2015-16,regular-season,ATL,44,24,20,3.8,2.5,6.5,39.3,0.6,1.9,30.6,2.3,3.1,74.5,1.0,2.8,3.9,1.3,1.0,0.6,0.6,0.5,2.3,2.2,8.0,-0.6
2015-16,regular-season,POR,42,23,19,3.3,2.6,5.8,44.7,0.8,1.8,41.6,2.1,2.7,77.2,0.9,2.5,3.3,1.3,0.9,0.2,0.5,0.5,2.1,1.9,8.0,-0.1
2015-16,regular-season,CHA,42,22,20,3.7,2.4,6.5,36.7,0.5,2.3,24.0,2.0,2.6,78.9,1.0,2.5,3.5,1.3,0.9,0.4,0.6,0.4,2.4,1.8,7.4,-1.3
2015-16,regular-season,OKC,44,22,22,3.9,2.9,6.9,41.6,0.9,2.2,40.8,2.8,3.6,78.6,1.1,2.7,3.8,1.2,0.8,0.6,0.5,0.7,2.0,2.4,9.5,0.5
2015-16,regular-season,SAS,30,21,9,3.5,2.1,5.4,38.3,0.6,2.1,30.2,1.7,2.2,80.0,0.6,2.1,2.7,1.2,0.9,0.5,0.4,0.6,1.9,1.4,6.5,-1.8
2015-16,regular-season,MIL,40,20,20,4.0,2.7,6.6,40.5,0.9,2.8,30.9,2.4,3.3,74.0,0.8,2.6,3.4,1.5,1.1,0.7,0.4,0.7,2.7,2.5,8.6,0.2
2015-16,regular-season,MIN,50,20,30,4.1,3.0,7.3,41.0,0.8,2.7,29.1,2.8,3.5,80.0,1.0,2.6,3.7,1.4,1.0,0.4,0.6,0.4,2.5,2.7,9.6,0.8
2015-16,regular-season,CLE,33,19,14,4.3,2.9,7.2,40.3,0.7,2.4,27.8,2.7,3.3,80.7,0.8,2.9,3.7,1.6,1.2,0.5,0.7,0.4,2.7,2.5,9.2,-0.3
2015-16,regular-season,ORL,44,19,25,4.5,2.8,7.5,36.7,0.6,2.5,24.3,3.2,4.1,77.5,1.3,3.3,4.5,1.1,1.0,0.6,0.9,0.4,2.2,2.9,9.4,0.3
2015-16,regular-season,NOP,46,18,28,3.7,2.8,6.1,45.7,0.7,2.3,31.7,2.8,3.7,76.6,0.8,2.3,3.1,1.2,0.9,0.7,0.4,0.3,2.2,2.4,9.2,0.8
