SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,MIN,BOX_OUTS,OFF_BOXOUTS,DEF_BOXOUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF
2019-20,Pre+Season,Adelaide 36ers,Adelaide 36ers,48.0,7.0,1.0,6.0,14.3,85.7
2019-20,Pre+Season,ATL,Atlanta Hawks,48.0,11.6,1.0,10.6,8.6,91.4
2019-20,Pre+Season,BOS,Boston Celtics,46.5,15.2,3.0,12.2,19.8,80.2
2019-20,Pre+Season,BKN,Brooklyn Nets,41.3,17.8,1.7,16.2,9.3,90.7
2019-20,Pre+Season,Buenos Aires San Lorenzo,Buenos Aires San Lorenzo,47.5,4.0,0.0,4.0,0.0,100
2019-20,Pre+Season,CHA,Charlotte Hornets,47.8,13.6,0.6,13.0,4.4,95.6
2019-20,Pre+Season,CHI,Chicago Bulls,47.5,20.2,1.6,18.6,7.9,92.1
2019-20,Pre+Season,CLE,Cleveland Cavaliers,47.9,12.5,1.3,11.3,10.0,90.0
2019-20,Pre+Season,DAL,Dallas Mavericks,48.0,16.1,1.0,15.1,6.2,93.8
2019-20,Pre+Season,DEN,Denver Nuggets,47.6,13.0,1.8,11.2,14.1,85.9
2019-20,Pre+Season,DET,Detroit Pistons,47.6,14.8,1.8,13.0,12.2,87.8
2019-20,Pre+Season,GSW,Golden State Warriors,47.4,17.2,1.6,15.6,9.3,90.7
2019-20,Pre+Season,Guangzhou Long-Lions,Guangzhou Long-Lions,45.3,19.0,2.0,17.0,10.5,89.5
2019-20,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,37.4,18.7,2.7,16.0,14.3,85.7
2019-20,Pre+Season,HOU,Houston Rockets,46.8,18.9,1.8,17.1,9.3,90.7
2019-20,Pre+Season,IND,Indiana Pacers,40.4,16.0,2.4,13.6,15.0,85.0
2019-20,Pre+Season,LAC,LA Clippers,40.7,16.1,1.4,14.7,8.8,91.2
2019-20,Pre+Season,LAL,Los Angeles Lakers,45.4,18.6,2.4,16.1,13.2,86.8
2019-20,Pre+Season,Melbourne United,Melbourne United,47.8,17.0,2.5,14.5,14.7,85.3
2019-20,Pre+Season,MEM,Memphis Grizzlies,41.7,14.6,1.5,13.1,10.3,89.7
2019-20,Pre+Season,MIA,Miami Heat,42.9,17.8,1.9,15.9,10.6,89.4
2019-20,Pre+Season,MIL,Milwaukee Bucks,47.1,22.3,1.7,20.7,7.5,92.5
2019-20,Pre+Season,MIN,Minnesota Timberwolves,48.0,15.8,3.2,12.6,20.3,79.7
2019-20,Pre+Season,NOP,New Orleans Pelicans,37.1,12.9,1.4,11.5,10.7,89.3
2019-20,Pre+Season,NYK,New York Knicks,48.0,13.3,3.3,10.0,24.5,75.5
2019-20,Pre+Season,New Zealand Breakers,New Zealand Breakers,42.6,7.0,0.0,7.0,0.0,100
2019-20,Pre+Season,OKC,Oklahoma City Thunder,46.2,22.2,1.0,21.2,4.5,95.5
2019-20,Pre+Season,ORL,Orlando Magic,45.6,16.2,2.0,14.2,12.3,87.7
2019-20,Pre+Season,PHI,Philadelphia 76ers,42.1,14.6,1.4,13.3,9.4,90.6
2019-20,Pre+Season,PHX,Phoenix Suns,41.2,19.0,2.6,16.4,13.5,86.5
2019-20,Pre+Season,POR,Portland Trail Blazers,40.2,13.5,2.2,11.3,16.0,84.0
