SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
2015-16,Regular+Season,MIL,,76,32,44,31.7,4.4,0.9,2.2,42.4,0.6,0.8,75.9,2.5,56.8,1.3,29.4,0.2,3.6,0.3,6.3,0.4,9.0,0,0
2015-16,Regular+Season,BOS,,72,42,30,31.6,2.4,0.5,1.2,43.0,0.5,0.6,81.8,1.6,66.9,0.5,21.7,0.2,6.9,0.2,8.0,0.3,13.7,0,0
2015-16,Regular+Season,PHI,,53,6,47,30.0,3.4,1.1,2.1,52.2,0.5,0.7,65.8,2.7,80.4,0.5,14.5,0.0,1.1,0.2,7.3,0.4,10.6,0,0
2015-16,Regular+Season,LAC,,79,51,28,26.9,5.0,1.3,3.0,43.4,1.1,1.2,90.8,3.8,75.7,0.7,13.2,0.4,7.1,0.3,6.3,0.6,12.4,0,0
2015-16,Regular+Season,DEN,,39,12,27,26.6,9.2,0.9,2.0,43.6,0.3,0.3,100,2.0,22.1,4.5,48.9,1.7,18.7,0.6,6.1,0.1,1.4,0,0
2015-16,Regular+Season,SAC,,50,19,31,14.3,2.8,0.3,0.9,39.5,0.2,0.3,64.3,0.9,31.9,1.1,41.3,0.3,10.9,0.2,8.0,0.1,5.1,0,0
2015-16,Regular+Season,NOP,,22,11,11,14.9,1.9,0.2,0.7,33.3,0.4,0.5,66.7,0.9,46.3,0.5,24.4,0.1,7.3,0.2,12.2,0.3,14.6,0,0
2015-16,Regular+Season,HOU,,82,41,41,38.1,14.5,2.5,5.2,48.6,2.9,3.4,86.0,8.3,57.3,4.6,31.6,1.5,10.1,1.3,8.8,1.7,11.8,0,0
2015-16,Regular+Season,TOR,,56,34,22,16.2,3.1,0.7,1.4,50.0,0.4,0.6,58.8,1.7,55.7,0.8,27.0,0.3,8.6,0.3,10.3,0.3,9.8,0,0
2015-16,Regular+Season,CLE,,48,33,15,9.7,0.5,0.1,0.2,50.0,0.1,0.1,75.0,0.3,59.1,0.2,36.4,0.0,4.5,0.0,4.5,0.0,9.1,0,0
2015-16,Regular+Season,GSW,,41,37,4,6.4,0.3,0.1,0.2,42.9,0.0,0.1,50.0,0.2,81.8,0.0,9.1,0.0,0.0,0.0,9.1,0.0,18.2,0,0
2015-16,Regular+Season,BOS,,28,11,17,7.0,0.4,0.1,0.1,50.0,0.0,0.1,25.0,0.2,50.0,0.0,10.0,0.0,10.0,0.1,20.0,0.1,20.0,0,0
2015-16,Regular+Season,CLE,,44,31,13,9.3,1.2,0.1,0.4,25.0,0.1,0.3,50.0,0.3,25.9,0.4,31.5,0.1,7.4,0.2,18.5,0.1,11.1,0,0
2015-16,Regular+Season,WAS,,81,40,41,25.9,2.1,0.1,0.2,45.0,0.2,0.2,72.2,0.4,20.2,0.9,44.0,0.4,20.8,0.3,14.9,0.1,5.4,0,0
2015-16,Regular+Season,BOS,,80,46,34,23.8,1.7,0.4,1.0,38.2,0.3,0.4,78.6,1.0,59.4,0.3,18.8,0.1,5.8,0.1,8.0,0.2,10.1,0,0
2015-16,Regular+Season,WAS,,26,13,13,5.6,0.4,0.0,0.2,0.0,0.2,0.2,100,0.2,40.0,0.0,10.0,0.0,10.0,0.0,0.0,0.1,20.0,0,0
2015-16,Regular+Season,MEM,,27,10,17,14.1,0.9,0.1,0.4,36.4,0.3,0.4,66.7,0.7,82.6,0.2,26.1,0.0,0.0,0.0,0.0,0.2,26.1,0,0
2015-16,Regular+Season,MEM,,7,1,6,2.7,0.1,0.1,0.1,100,0.0,0.0,0.0,0.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,BKN,,32,10,22,32.1,10.5,1.3,3.5,35.4,0.9,1.0,90.6,3.5,33.1,3.9,37.6,1.7,15.8,0.7,6.9,0.5,4.8,0,0
2015-16,Regular+Season,ORL,,75,33,42,15.3,0.7,0.1,0.4,34.4,0.2,0.2,88.9,0.5,67.9,0.1,12.5,0.0,1.8,0.1,8.9,0.1,16.1,0,0
2015-16,Regular+Season,HOU,,72,37,35,17.5,2.3,0.4,0.9,46.9,0.1,0.1,90.0,1.0,41.9,0.9,38.9,0.3,13.2,0.1,5.4,0.1,3.0,0,0
2015-16,Regular+Season,TOR,,47,38,9,10.0,0.3,0.1,0.1,57.1,0.1,0.2,50.0,0.3,81.3,0.0,6.3,0.0,6.3,0.0,6.3,0.1,31.3,0,0
2015-16,Regular+Season,LAC,,17,11,6,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,LAC,,80,48,32,28.2,4.3,1.1,2.6,41.6,0.7,1.0,71.8,3.0,68.8,0.7,15.2,0.3,5.8,0.2,5.5,0.5,11.4,0,0
2015-16,Regular+Season,ATL,,79,47,32,28.5,15.1,2.3,5.4,43.6,1.5,1.8,85.7,6.3,41.8,6.1,40.4,1.5,9.9,1.0,6.5,0.9,6.0,0,0
2015-16,Regular+Season,UTA,,51,25,26,12.9,0.2,0.1,0.1,50.0,0.1,0.1,50.0,0.2,75.0,0.0,8.3,0.0,0.0,0.0,8.3,0.1,25.0,0,0
2015-16,Regular+Season,PHI,,77,9,68,26.8,4.8,0.9,2.1,43.2,0.8,1.2,70.0,2.7,56.1,1.2,25.9,0.3,5.7,0.4,9.3,0.6,12.5,0,0
2015-16,Regular+Season,DAL,,30,16,14,8.4,0.1,0.0,0.0,100,0.0,0.0,0.0,0.1,50.0,0.1,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,CHA,,66,40,26,18.6,3.3,0.8,1.8,44.9,0.5,0.6,81.0,2.2,66.5,0.7,21.1,0.3,7.8,0.2,5.5,0.3,9.6,0,0
2015-16,Regular+Season,CHA,,78,47,31,26.3,9.4,1.5,3.3,44.9,1.2,1.5,80.5,4.3,45.2,3.2,33.5,1.0,10.5,0.9,9.5,0.8,8.2,0,0
2015-16,Regular+Season,NYK,,76,29,47,16.6,5.4,0.8,1.9,43.8,0.7,0.9,79.4,2.4,45.0,2.0,37.5,0.6,10.7,0.4,6.5,0.4,8.2,0,0
2015-16,Regular+Season,MIL,,52,21,31,28.9,5.2,0.8,1.9,43.9,0.4,0.5,80.8,2.1,41.3,2.0,37.9,0.6,11.9,0.3,6.7,0.3,5.2,0,0
2015-16,Regular+Season,SAS,,6,1,5,2.9,1.0,0.0,0.3,0.0,0.3,0.3,100,0.3,33.3,0.5,50.0,0.0,0.0,0.0,0.0,0.2,16.7,0,0
2015-16,Regular+Season,CHI,,67,37,30,36.9,10.5,1.9,3.9,48.8,1.8,2.2,80.8,5.7,54.1,3.7,35.0,1.0,9.3,0.7,6.5,1.1,10.5,0,0
