SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,PTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
2025-26,regular-season,-,8,27,242.9,115.6,409.5,210.1,21.4,3.13,2.55,0.282,8.0,4.8,21.0,0.584,0.568,0.970,0
2025-26,regular-season,-,23,10,240.0,121.2,417.2,219.2,21.7,3.13,2.48,0.290,6.7,3.8,19.2,0.570,0.605,0.762,0
2025-26,regular-season,-,29,5,242.9,122.1,381.8,185.6,20.6,3.24,2.68,0.320,10.0,2.4,21.3,0.595,0.617,0.862,0
2025-26,regular-season,-,19,15,241.5,116.6,417.1,218.7,20.8,2.99,2.22,0.280,8.7,2.9,22.1,0.478,0.566,0.912,0
2025-26,regular-season,-,18,14,243.9,116.6,443.5,238.4,21.7,2.93,2.24,0.263,6.7,4.0,19.1,0.563,0.520,0.848,0
2025-26,regular-season,-,19,14,240.8,115.1,410.2,212.1,20.6,3.01,2.34,0.280,8.5,2.3,23.6,0.687,0.688,0.817,0
2025-26,regular-season,-,14,20,241.5,116.2,412.8,211.0,20.4,2.97,2.32,0.281,8.0,2.0,24.9,0.587,0.478,0.782,0
2025-26,regular-season,-,8,26,242.2,110.9,396.5,200.7,21.1,3.19,2.52,0.280,12.1,4.7,23.8,0.703,0.596,0.835,0
2025-26,regular-season,-,24,9,240.8,119.9,407.8,206.6,20.5,3.01,2.20,0.294,9.3,3.3,21.5,0.518,0.596,0.872,0
2025-26,regular-season,-,20,15,241.4,113.8,421.5,225.7,20.3,2.89,2.08,0.270,11.9,4.6,26.2,0.600,0.494,0.798,0
2025-26,regular-season,-,12,21,243.8,119.8,422.1,218.8,21.3,3.03,2.23,0.284,9.9,2.2,21.7,0.752,0.726,0.878,0
2025-26,regular-season,-,8,24,241.6,113.2,400.3,201.9,20.5,3.07,2.39,0.283,10.3,3.3,20.2,0.647,0.610,0.958,0
2025-26,ist,-,2,2,240.0,117.0,431.8,233.5,20.2,2.81,2.12,0.271,8.8,4.0,26.8,0.886,0.750,0.963,0
2025-26,ist,-,2,2,240.0,110.3,391.3,192.8,21.2,3.25,2.62,0.282,4.5,1.5,22.0,0.556,0.333,0.716,0
2025-26,ist,-,1,3,240.0,105.3,408.8,218.0,21.5,3.15,2.37,0.257,10.0,1.0,18.8,0.275,0.500,0.840,0
2025-26,ist,-,1,3,246.3,116.5,416.5,214.0,22.7,3.26,2.60,0.280,7.3,1.0,23.3,0.862,0.000,0.903,0
2025-26,ist,-,1,3,240.0,117.0,476.5,266.0,19.5,2.45,1.87,0.246,10.5,3.5,22.3,0.524,0.143,0.831,0
2025-26,ist,-,2,2,240.0,123.0,408.3,204.8,19.8,2.91,2.32,0.301,13.0,2.5,31.0,0.462,0.600,0.718,0
2025-26,ist,-,1,3,252.5,117.0,412.5,202.3,22.1,3.22,2.61,0.284,9.0,0.8,18.8,0.528,0.000,1.067,0
2025-26,ist,-,2,2,240.0,121.0,408.8,219.5,21.0,3.08,2.12,0.296,13.8,8.0,26.0,0.727,0.750,0.827,0
2025-26,ist,-,2,2,240.0,115.5,398.5,213.0,20.6,3.10,2.43,0.290,11.8,5.5,27.0,0.660,0.773,0.806,0
2025-26,ist,-,1,3,240.0,109.0,459.3,259.0,21.1,2.75,1.98,0.237,9.0,3.3,28.3,0.444,0.385,0.796,0
2025-26,ist,-,2,2,240.0,115.8,411.3,218.5,22.0,3.21,2.51,0.281,13.3,8.8,29.8,0.491,0.457,0.647,0
2025-26,ist,-,1,3,240.0,107.8,430.8,232.0,21.4,2.97,2.32,0.250,7.3,4.3,20.8,0.552,0.588,0.855,0
2025-26,ist,-,2,2,252.5,121.0,399.3,191.5,23.4,3.51,2.77,0.303,10.8,7.8,21.8,0.884,0.516,0.943,0
2025-26,ist,-,4,1,240.0,123.6,379.6,167.6,20.3,3.21,2.38,0.326,9.2,3.2,23.6,0.674,0.938,0.941,0
2025-26,ist,-,3,1,246.3,118.8,437.0,239.0,20.7,2.85,2.08,0.272,7.0,6.5,27.5,0.500,0.692,0.800,0
2025-26,ist,-,2,2,240.0,127.3,440.8,239.8,18.6,2.53,1.99,0.289,7.3,4.5,25.0,0.414,0.611,0.870,0
2025-26,ist,-,2,1,248.3,127.3,405.7,200.7,21.8,3.23,2.31,0.314,8.0,11.0,18.0,0.500,0.273,1.056,0
2025-26,ist,-,2,2,240.0,119.8,424.8,224.3,21.0,2.97,2.38,0.282,7.0,3.3,22.3,0.786,0.846,0.854,0
2025-26,ist,-,0,4,246.3,117.8,415.5,220.0,21.6,3.11,2.54,0.283,10.5,4.8,18.8,0.357,0.368,0.827,0
2025-26,ist,-,5,1,240.0,126.8,407.5,211.8,22.0,3.23,2.57,0.311,6.8,4.5,17.0,0.585,0.481,0.863,0
2025-26,ist,-,5,1,240.0,126.5,381.8,183.0,20.3,3.20,2.63,0.331,10.5,1.2,21.8,0.587,0.000,0.847,0
2025-26,ist,-,5,1,240.0,120.2,418.5,215.3,20.6,2.96,2.16,0.287,9.2,2.5,21.5,0.582,0.400,0.891,0
2025-26,ist,-,1,3,240.0,107.8,426.0,220.8,20.7,2.91,2.26,0.253,7.5,2.5,14.3,0.367,0.600,0.702,0
2025-26,ist,-,3,2,240.0,110.4,412.4,210.2,21.1,3.07,2.46,0.268,10.0,1.6,24.8,0.580,0.250,0.952,0
2025-26,ist,-,2,2,240.0,113.5,419.5,219.3,19.7,2.82,2.16,0.271,9.5,2.0,32.3,0.684,0.125,0.775,0
2025-26,ist,-,0,4,240.0,107.5,401.5,204.5,20.9,3.12,2.46,0.268,13.5,3.8,26.3,0.796,0.733,0.933,0
2025-26,ist,-,5,1,240.0,121.0,406.2,201.7,20.3,3.00,2.19,0.298,8.5,2.5,20.8,0.451,0.667,0.768,0
2025-26,ist,-,4,1,240.0,111.8,415.0,222.2,20.4,2.95,2.16,0.269,11.0,6.6,26.0,0.655,0.576,0.792,0
2025-26,ist,-,1,3,240.0,108.3,422.5,222.5,21.0,2.99,2.20,0.256,9.0,1.3,24.0,0.861,1.200,0.719,0
2025-26,ist,-,1,3,240.0,110.8,397.0,197.0,20.3,3.07,2.40,0.279,7.5,3.0,15.8,0.633,0.667,0.762,0
