SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PLUS_MINUS
2017-18,regular-season,-,04/10/2018,L,48,101,33,87,37.9,13,33,39.4,22,27,81.5,13,31,44,22,17,14,1,18,-12,0
2017-18,regular-season,-,04/10/2018,L,48,93,40,99,40.4,8,31,25.8,5,8,62.5,13,40,53,22,8,3,4,16,-26,0
2017-18,regular-season,-,04/10/2018,L,48,97,37,97,38.1,8,33,24.2,15,22,68.2,18,22,40,20,8,8,1,19,-27,0
2017-18,regular-season,-,04/10/2018,L,48,79,30,86,34.9,5,19,26.3,14,16,87.5,9,30,39,14,16,7,3,18,-40,0
2017-18,regular-season,-,04/09/2018,W,48,115,35,81,43.2,14,35,40.0,31,38,81.6,7,36,43,21,10,9,4,15,22,0
2017-18,regular-season,-,04/09/2018,W,48,113,42,87,48.3,7,22,31.8,22,26,84.6,18,34,52,27,18,10,7,18,19,0
2017-18,regular-season,-,04/09/2018,W,48,102,39,91,42.9,9,26,34.6,15,18,83.3,12,44,56,26,17,13,2,18,16,0
2017-18,regular-season,-,04/09/2018,W,48,123,40,85,47.1,19,45,42.2,24,28,85.7,7,35,42,29,11,9,2,15,14,0
2017-18,regular-season,-,04/09/2018,W,48,113,44,95,46.3,11,30,36.7,14,20,70.0,9,41,50,34,8,13,10,18,13,0
2017-18,regular-season,-,04/09/2018,W,48,98,34,82,41.5,6,27,22.2,24,29,82.8,11,34,45,18,8,6,6,14,13,0
2017-18,regular-season,-,04/09/2018,W,48,108,46,87,52.9,12,39,30.8,4,4,100,8,40,48,27,10,3,5,17,10,0
2017-18,regular-season,-,04/09/2018,W,48,114,41,82,50.0,18,42,42.9,14,15,93.3,6,32,38,32,18,8,10,15,9,0
2017-18,regular-season,-,04/09/2018,W,48,88,31,83,37.3,6,26,23.1,20,26,76.9,10,42,52,22,12,7,5,18,6,0
2017-18,regular-season,-,04/09/2018,L,48,82,31,94,33.0,7,33,21.2,13,18,72.2,18,39,57,10,17,8,2,28,-6,0
2017-18,regular-season,-,04/09/2018,L,48,105,43,89,48.3,12,28,42.9,7,12,58.3,10,34,44,26,19,7,6,17,-9,0
2017-18,regular-season,-,04/09/2018,L,48,98,35,78,44.9,9,30,30.0,19,25,76.0,4,29,33,22,6,7,2,11,-10,0
2017-18,regular-season,-,04/09/2018,L,48,100,45,98,45.9,2,17,11.8,8,19,42.1,17,44,61,29,16,6,6,18,-13,0
2017-18,regular-season,-,04/09/2018,L,48,85,33,81,40.7,8,18,44.4,11,17,64.7,12,33,45,16,12,4,2,24,-13,0
2017-18,playoffs,-,06/08/2018,W,48,108,39,86,45.3,14,38,36.8,16,16,100,10,34,44,25,10,7,13,24,23,0
2017-18,playoffs,-,06/08/2018,L,48,85,30,87,34.5,8,27,29.6,17,25,68.0,17,27,44,21,11,5,5,22,-23,0
2017-18,playoffs,-,06/06/2018,W,48,110,42,81,51.9,9,26,34.6,17,19,89.5,6,31,37,27,11,6,5,20,8,0
2017-18,playoffs,-,06/06/2018,L,48,102,40,92,43.5,9,31,29.0,13,17,76.5,15,32,47,20,14,6,4,18,-8,0
2017-18,playoffs,-,06/03/2018,W,48,122,47,82,57.3,15,36,41.7,13,21,61.9,7,34,41,28,12,3,8,25,19,0
2017-18,playoffs,-,06/03/2018,L,48,103,37,90,41.1,9,27,33.3,20,26,76.9,16,26,42,25,11,9,4,15,-19,0
2017-18,playoffs,-,05/31/2018,W,53,124,46,90,51.1,13,36,36.1,19,20,95.0,4,34,38,31,8,10,6,18,10,0
2017-18,playoffs,-,05/31/2018,L,53,114,44,99,44.4,10,37,27.0,16,22,72.7,19,34,53,18,12,5,3,18,-10,0
2017-18,playoffs,-,05/28/2018,W,48,101,39,80,48.8,16,39,41.0,7,14,50.0,11,31,42,25,17,9,7,22,9,0
2017-18,playoffs,-,05/28/2018,L,48,92,36,90,40.0,7,44,15.9,13,22,59.1,17,27,44,17,12,13,3,17,-9,0
2017-18,playoffs,-,05/27/2018,W,48,87,30,66,45.5,9,35,25.7,18,25,72.0,2,39,41,15,13,2,4,21,8,0
2017-18,playoffs,-,05/27/2018,L,48,79,29,85,34.1,7,39,17.9,14,19,73.7,11,31,42,18,6,6,0,20,-8,0
2017-18,playoffs,-,05/26/2018,W,48,115,43,87,49.4,16,38,42.1,13,19,68.4,13,34,47,26,12,11,10,17,29,0
2017-18,playoffs,-,05/26/2018,L,48,86,31,77,40.3,15,39,38.5,9,17,52.9,7,31,38,13,21,8,2,16,-29,0
2017-18,playoffs,-,05/25/2018,W,48,109,41,87,47.1,9,23,39.1,18,22,81.8,15,29,44,16,11,8,9,19,10,0
2017-18,playoffs,-,05/25/2018,L,48,99,38,74,51.4,12,28,42.9,11,20,55.0,5,26,31,25,14,5,2,18,-10,0
2017-18,playoffs,-,05/24/2018,W,48,98,29,78,37.2,13,43,30.2,27,32,84.4,8,32,40,12,12,10,3,19,4,0
2017-18,playoffs,-,05/24/2018,L,48,94,32,72,44.4,10,26,38.5,20,23,87.0,4,37,41,18,18,7,1,21,-4,0
2017-18,playoffs,-,05/23/2018,W,48,96,31,85,36.5,13,39,33.3,21,23,91.3,7,38,45,18,10,10,6,19,13,0
2017-18,playoffs,-,05/23/2018,L,48,83,31,74,41.9,9,34,26.5,12,19,63.2,3,36,39,17,15,3,7,19,-13,0
2017-18,playoffs,-,05/22/2018,W,48,95,30,77,39.0,12,38,31.6,23,27,85.2,8,33,41,12,13,7,9,19,3,0
2017-18,playoffs,-,05/22/2018,L,48,92,35,89,39.3,9,27,33.3,13,14,92.9,16,33,49,14,16,6,3,24,-3,0
2017-18,playoffs,-,05/21/2018,W,48,111,41,81,50.6,8,23,34.8,21,29,72.4,9,38,47,15,19,6,8,23,9,0
2017-18,playoffs,-,05/21/2018,L,48,102,35,85,41.2,9,28,32.1,23,30,76.7,9,28,37,21,10,9,3,26,-9,0
2017-18,playoffs,-,05/20/2018,W,48,126,48,92,52.2,13,32,40.6,17,18,94.4,11,38,49,20,8,11,7,16,41,0
2017-18,playoffs,-,05/20/2018,L,48,85,32,81,39.5,11,34,32.4,10,13,76.9,10,31,41,19,20,3,5,19,-41,0
2017-18,playoffs,-,05/19/2018,W,48,116,37,76,48.7,17,34,50.0,25,30,83.3,8,37,45,23,15,9,3,23,30,0
2017-18,playoffs,-,05/19/2018,L,48,86,29,74,39.2,6,22,27.3,22,28,78.6,6,28,34,16,15,4,4,25,-30,0
2017-18,playoffs,-,05/16/2018,W,48,127,45,88,51.1,16,42,38.1,21,27,77.8,10,37,47,23,14,8,1,24,22,0
2017-18,playoffs,-,05/16/2018,L,48,105,39,85,45.9,9,30,30.0,18,22,81.8,9,27,36,21,15,6,4,22,-22,0
2017-18,playoffs,-,05/15/2018,W,48,107,40,92,43.5,10,31,32.3,17,20,85.0,11,35,46,24,6,8,2,18,13,0
2017-18,playoffs,-,05/15/2018,L,48,94,37,80,46.3,10,31,32.3,10,17,58.8,8,37,45,18,15,2,5,21,-13,0
2017-18,playoffs,-,05/14/2018,W,48,119,42,80,52.5,13,33,39.4,22,25,88.0,3,34,37,24,9,9,4,17,13,0
2017-18,playoffs,-,05/14/2018,L,48,106,39,85,45.9,13,37,35.1,15,21,71.4,7,35,42,18,16,5,3,23,-13,0
2017-18,playoffs,-,05/13/2018,W,48,108,43,84,51.2,11,30,36.7,11,13,84.6,6,42,48,27,11,6,4,17,25,0
