SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ
2023-24,regular-season,-,50,31,228.8,10.0,5.8,57.9,22.9,43.9,0.8,45.4,0
2023-24,regular-season,-,46,35,225.3,8.1,4.7,57.4,18.1,45.0,0.5,46.2,0
2023-24,regular-season,-,27,55,233.5,10.9,5.5,49.9,26.0,41.9,0.9,43.4,0
2023-24,regular-season,-,46,35,231.0,9.3,5.0,54.0,21.5,43.4,0.7,44.8,0
2023-24,regular-season,-,49,33,231.1,9.4,5.0,53.2,21.1,44.7,0.6,46.1,0
2023-24,regular-season,-,56,26,226.1,9.4,5.1,54.5,21.9,43.0,0.6,44.2,0
2023-24,regular-season,-,49,32,232.0,10.4,5.8,55.9,24.4,42.4,0.8,43.8,0
2023-24,regular-season,-,50,32,230.9,12.7,7.4,58.2,29.3,43.2,1.0,44.8,0
2023-24,regular-season,-,57,25,230.4,8.8,5.0,56.5,21.9,40.2,0.8,41.8,0
2023-24,regular-season,-,47,35,226.9,10.5,5.9,55.9,25.8,40.5,1.0,42.2,0
2023-24,regular-season,-,46,35,230.8,11.0,6.7,61.0,26.3,41.9,0.9,43.5,0
2023-24,regular-season,-,48,32,230.5,10.2,5.6,55.3,24.2,42.0,1.0,43.8,0
2023-24,regular-season,-,20,61,235.7,12.6,7.2,57.2,29.3,42.8,0.9,44.3,0
2023-24,regular-season,-,46,36,229.5,10.8,5.4,49.4,25.2,43.0,1.0,44.7,0
2023-24,regular-season,-,21,60,226.7,10.3,5.6,54.2,23.4,44.1,0.8,45.6,0
2023-24,regular-season,-,25,56,229.6,10.9,6.4,58.6,24.4,44.6,1.0,46.5,0
2023-24,regular-season,-,31,50,231.1,12.2,7.0,57.0,28.1,43.3,1.1,45.0,0
2023-24,regular-season,-,15,67,225.6,9.2,5.1,55.3,22.6,40.5,0.6,41.6,0
2023-24,playoffs,-,16,3,236.1,9.7,4.8,50.0,21.5,45.1,0.8,46.9,0
2023-24,playoffs,-,5,7,225.2,7.7,4.6,59.8,20.4,37.6,0.3,38.0,0
2023-24,playoffs,-,13,9,230.9,10.9,5.8,53.6,24.6,44.2,0.9,45.8,0
2023-24,playoffs,-,7,5,231.7,9.9,6.5,65.5,23.1,43.0,0.8,44.6,0
2023-24,playoffs,-,8,9,231.2,10.3,6.2,60.6,22.4,46.1,0.6,47.3,0
2023-24,playoffs,-,2,4,231.0,11.2,5.8,52.2,29.5,37.9,0.3,38.3,0
2023-24,playoffs,-,1,4,238.0,7.4,4.0,54.1,14.4,51.4,0.2,52.1,0
2023-24,playoffs,-,1,4,233.0,5.6,2.0,35.7,15.8,35.4,1.0,37.8,0
2023-24,playoffs,-,2,4,234.9,9.5,3.0,31.6,23.0,41.3,0.5,42.2,0
2023-24,playoffs,-,9,7,226.0,10.6,5.5,51.8,25.4,41.9,1.0,43.6,0
2023-24,playoffs,-,0,4,233.8,12.3,8.0,65.3,28.8,42.6,1.5,45.0,0
2023-24,playoffs,-,7,6,228.7,13.5,8.2,60.6,30.0,44.9,1.2,46.8,0
2023-24,playoffs,-,6,4,228.7,8.7,4.3,49.4,22.2,39.2,0.8,40.7,0
2023-24,playoffs,-,3,4,230.1,12.0,6.7,56.0,30.9,38.9,0.7,39.8,0
2023-24,playoffs,-,2,4,241.3,10.7,7.8,73.4,25.2,42.4,0.8,43.8,0
2023-24,playoffs,-,0,4,224.6,7.3,3.3,44.8,18.3,39.7,0.5,40.8,0
2023-24,play-in,-,0,1,215.1,8.0,4.0,50.0,24.0,33.3,0.0,33.3,0
2023-24,play-in,-,1,1,239.1,8.5,4.5,52.9,22.5,37.8,0.5,38.6,0
2023-24,play-in,-,0,1,240.0,8.0,8.0,100,16.0,50.0,2.0,57.1,0
2023-24,play-in,-,1,0,203.5,6.0,6.0,100,16.0,37.5,0.0,37.5,0
2023-24,play-in,-,1,1,237.2,13.5,7.0,51.9,23.5,57.4,1.0,60.0,0
2023-24,play-in,-,1,1,222.5,10.5,7.0,66.7,21.5,48.8,0.5,50.0,0
2023-24,play-in,-,1,0,236.5,15.0,8.0,53.3,27.0,55.6,2.0,60.0,0
2023-24,play-in,-,1,1,221.9,14.5,7.5,51.7,34.0,42.6,2.0,45.3,0
2023-24,ist,-,1,3,234.4,12.5,7.0,56.0,29.0,43.1,0.8,44.2,0
2023-24,ist,-,3,2,235.4,10.6,4.8,45.3,25.4,41.7,0.4,42.4,0
2023-24,ist,-,3,1,240.0,10.8,7.0,65.1,27.3,39.4,0.8,40.6,0
2023-24,ist,-,1,3,232.4,15.8,9.3,58.7,31.3,50.4,1.0,52.1,0
2023-24,ist,-,0,4,232.1,8.0,4.8,59.4,25.3,31.7,0.5,32.3,0
2023-24,ist,-,3,1,234.7,9.5,5.5,57.9,22.5,42.2,0.3,42.7,0
2023-24,ist,-,2,2,226.2,12.5,5.8,46.0,27.3,45.9,1.0,47.6,0
2023-24,ist,-,2,2,227.2,13.0,7.3,55.8,25.3,51.5,1.0,53.6,0
2023-24,ist,-,0,4,227.7,14.3,9.5,66.7,26.8,53.3,1.0,55.3,0
2023-24,ist,-,2,2,233.8,10.5,4.8,45.2,26.5,39.6,0.8,40.8,0
