SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2025-26,ist,MIL,4,2,2,49.3,42.0,89.3,47.1,12.8,37.0,34.5,20.3,24.5,82.7,10.3,33.5,43.8,30.5,13.5,9.8,3.3,3.5,17.8,20.5,117.0,-4.3
2025-26,ist,MIN,4,2,2,48.0,38.3,87.0,44.0,10.5,32.3,32.6,21.5,29.8,72.3,12.3,29.8,42.0,26.0,17.5,11.0,3.0,5.5,25.5,22.8,108.5,-11.3
2025-26,ist,POR,4,2,2,48.0,43.0,92.3,46.6,12.8,36.5,34.9,22.5,26.5,84.9,14.8,31.3,46.0,22.8,12.0,12.0,5.8,5.3,22.5,22.3,121.3,7.8
2025-26,ist,BKN,4,1,3,48.0,42.5,85.3,49.9,10.8,34.0,31.6,16.8,21.3,78.8,10.3,34.0,44.3,26.3,14.3,9.0,3.5,4.0,20.0,19.0,112.5,7.3
2025-26,ist,CHA,4,1,3,49.3,50.5,92.3,54.7,13.3,30.8,43.1,15.3,18.5,82.4,7.3,33.0,40.3,31.3,14.0,10.0,3.8,5.8,21.5,18.5,129.5,13.0
2025-26,ist,CHI,4,1,3,48.0,46.0,97.8,47.1,15.8,41.8,37.7,21.5,27.3,78.9,12.8,35.0,47.8,29.3,11.8,8.0,7.0,5.8,20.5,21.5,129.3,12.3
2025-26,ist,DAL,4,1,3,50.5,43.3,86.8,49.9,12.8,34.8,36.7,24.5,30.3,81.0,7.3,33.5,40.8,25.3,16.5,10.8,3.8,6.5,23.0,21.8,123.8,6.8
2025-26,ist,GSW,4,1,3,48.0,41.5,88.5,46.9,14.3,38.8,36.8,19.8,25.0,79.0,16.0,32.3,48.3,29.3,15.3,7.8,4.5,5.5,19.8,22.3,117.0,8.0
2025-26,ist,IND,4,1,3,48.0,40.5,89.3,45.4,8.8,30.8,28.5,18.0,23.5,76.6,12.3,37.0,49.3,23.5,13.5,7.5,6.0,6.0,20.3,19.0,107.8,0.0
2025-26,ist,PHI,4,1,3,48.0,43.3,94.8,45.6,14.3,40.8,35.0,16.8,21.0,79.8,14.5,30.3,44.8,29.3,13.5,8.0,5.8,5.5,19.3,18.3,117.5,9.8
2025-26,ist,UTA,4,1,3,48.0,46.8,89.5,52.2,16.8,37.5,44.7,19.3,25.5,75.5,9.0,32.5,41.5,31.3,14.0,11.0,6.3,3.5,21.5,22.8,129.5,21.3
2025-26,ist,WAS,4,1,3,48.0,47.8,95.0,50.3,15.5,37.5,41.3,19.0,24.8,76.8,15.5,34.3,49.8,32.5,15.0,10.3,6.0,6.5,18.0,20.5,130.0,19.3
2025-26,ist,NOP,4,0,4,49.3,45.5,88.5,51.4,14.5,38.3,37.9,18.3,22.3,82.0,10.5,34.0,44.5,31.0,16.5,10.8,7.0,5.0,18.3,19.8,123.8,6.0
2025-26,ist,SAC,4,0,4,48.0,43.8,88.8,49.3,13.0,38.5,33.8,23.5,31.0,75.8,12.8,37.0,49.8,28.0,14.8,10.0,5.3,4.5,18.0,21.3,124.0,16.5
