SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
2023-24,Playoffs,LAL,Los Angeles Lakers,5,1,4,240.0,370.4,9.8,3.2,5.8,55.2,0.8,0.8,100,7.6,77.6,2.8,28.6,0.4,14.3,0.6,6.1,0.4,4.1
2023-24,Playoffs,MIA,Miami Heat,5,1,4,240.0,374.2,6.2,2.4,3.6,66.7,0.4,0.4,100,5.2,83.9,2.4,38.7,0.2,8.3,0.0,0.0,0.2,3.2
2023-24,Playoffs,MIL,Milwaukee Bucks,6,2,4,244.2,387.8,6.7,1.2,2.7,43.8,1.3,1.3,100,3.7,55.0,2.3,35.0,0.2,7.1,0.5,7.5,0.7,10.0
2023-24,Playoffs,MIN,Minnesota Timberwolves,16,9,7,240.0,390.0,7.8,1.9,3.3,56.6,0.8,1.0,81.3,4.8,61.3,3.1,39.5,0.9,30.6,0.5,6.5,0.5,6.5
2023-24,Playoffs,NOP,New Orleans Pelicans,4,0,4,240.0,408.8,10.3,2.0,4.0,50.0,1.0,1.0,100,5.0,48.8,5.3,51.2,1.8,33.3,0.3,2.4,0.3,2.4
2023-24,Playoffs,NYK,New York Knicks,13,7,6,241.9,387.9,10.0,2.7,4.5,59.3,0.7,1.1,64.3,6.2,62.3,4.5,45.4,1.2,25.4,0.3,3.1,0.5,5.4
2023-24,Playoffs,OKC,Oklahoma City Thunder,10,6,4,240.0,382.6,6.2,1.3,2.3,56.5,0.7,1.2,58.3,3.4,54.8,2.6,41.9,0.7,26.9,0.6,9.7,0.6,9.7
2023-24,Playoffs,ORL,Orlando Magic,7,3,4,240.0,390.7,8.3,2.3,3.9,59.3,1.3,1.4,90.0,6.0,72.4,3.0,36.2,0.6,19.0,0.6,6.9,0.6,6.9
2023-24,Playoffs,PHI,Philadelphia 76ers,6,2,4,244.2,374.2,7.2,2.0,2.7,75.0,1.3,1.3,100,5.5,76.7,3.5,48.8,0.7,19.0,0.2,2.3,0.7,9.3
2023-24,Playoffs,PHX,Phoenix Suns,4,0,4,240.0,377.5,7.5,1.0,3.8,26.7,0.5,0.5,100,2.5,33.3,2.8,36.7,0.5,18.2,0.5,6.7,0.3,3.3
2023-24,PlayIn,ATL,Atlanta Hawks,1,0,1,240.0,375.0,11.0,4.0,6.0,66.7,0.0,0.0,0.0,8.0,72.7,4.0,36.4,1.0,25.0,0.0,0.0,0.0,0.0
2023-24,PlayIn,CHI,Chicago Bulls,2,1,1,240.0,409.0,8.5,2.0,3.5,57.1,0.0,0.0,0.0,4.0,47.1,4.0,47.1,1.0,25.0,0.5,5.9,0.0,0.0
2023-24,PlayIn,GSW,Golden State Warriors,1,0,1,240.0,396.0,7.0,2.0,4.0,50.0,0.0,0.0,0.0,4.0,57.1,3.0,42.9,1.0,33.3,0.0,0.0,0.0,0.0
2023-24,PlayIn,LAL,Los Angeles Lakers,1,1,0,240.0,408.0,9.0,5.0,5.0,100,1.0,2.0,50.0,12.0,133.3,2.0,22.2,0.0,0.0,0.0,0.0,1.0,11.1
