SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ
2023-24,ist,-,2,2,226.2,27.0,5.5,20.4,49.0,55.1,4.0,60.0,0
2023-24,ist,-,2,2,227.2,33.0,8.0,24.2,51.8,63.8,3.8,68.8,0
2023-24,ist,-,0,4,227.7,31.8,7.0,22.0,55.5,57.2,3.8,61.4,0
2023-24,ist,-,2,2,233.8,33.8,8.3,24.4,54.3,62.2,4.0,67.2,0
2023-24,ist,-,2,2,227.5,35.3,8.5,24.1,57.8,61.0,5.3,67.1,0
2023-24,ist,-,6,0,224.1,30.2,6.5,21.5,53.0,56.9,3.2,60.5,0
2023-24,ist,-,1,3,225.7,29.8,5.8,19.3,42.8,69.6,3.3,75.3,0
2023-24,ist,-,5,0,225.8,35.6,10.4,29.2,62.0,57.4,4.2,61.6,0
2023-24,ist,-,0,4,234.0,28.3,6.5,23.0,46.3,61.1,3.5,66.1,0
2023-24,ist,-,2,2,229.3,30.0,7.3,24.2,46.3,64.9,4.3,71.4,0
2023-24,ist,-,5,1,232.7,35.8,7.5,20.9,61.3,58.4,5.7,64.4,0
2023-24,ist,-,3,1,233.2,36.5,9.8,26.7,59.3,61.6,5.5,67.9,0
2023-24,ist,-,4,1,232.6,34.6,8.0,23.1,60.0,57.7,5.0,62.9,0
2023-24,ist,-,3,2,231.9,35.4,5.6,15.8,55.6,63.7,7.0,72.8,0
2023-24,ist,-,1,3,218.2,30.3,9.3,30.6,54.3,55.8,4.8,61.1,0
2023-24,ist,-,3,1,228.3,31.0,5.8,18.5,51.3,60.5,5.0,67.0,0
2023-24,ist,-,2,2,235.3,32.0,6.3,19.5,55.3,57.9,5.3,64.0,0
2023-24,ist,-,3,2,237.9,32.6,7.2,22.1,54.2,60.1,4.2,65.2,0
2023-24,ist,-,1,3,237.4,28.0,7.0,25.0,46.3,60.5,4.3,66.7,0
2023-24,ist,-,4,1,226.8,33.4,6.0,18.0,53.6,62.3,5.8,69.9,0
2023-24,ist,-,0,4,210.3,32.0,5.3,16.4,49.5,64.6,4.0,70.3,0
2023-24,ist,-,1,3,219.7,31.8,7.3,22.8,53.8,59.1,4.3,64.1,0
2023-24,ist,-,2,2,231.5,31.0,7.8,25.0,49.0,63.3,3.0,67.4,0
2023-24,ist,-,0,4,230.7,28.5,7.3,25.4,50.0,57.0,2.8,60.3,0
2024-25,regular-season,-,40,42,230.8,32.6,7.7,23.5,53.1,61.4,4.7,67.4,0
2024-25,regular-season,-,61,21,233.1,33.7,8.7,25.8,56.2,59.9,5.4,66.2,0
2024-25,regular-season,-,26,56,233.8,30.4,7.6,24.9,50.9,59.8,5.1,66.4,0
2024-25,regular-season,-,19,63,228.8,33.0,7.8,23.8,54.7,60.2,5.4,66.8,0
2024-25,regular-season,-,39,43,230.2,35.8,8.8,24.5,58.3,61.4,5.4,67.7,0
2024-25,regular-season,-,64,18,228.6,34.2,8.9,26.1,57.0,60.1,5.5,66.5,0
2024-25,regular-season,-,39,43,230.5,32.9,8.3,25.1,55.9,58.9,5.8,65.7,0
2024-25,regular-season,-,50,31,232.7,34.6,9.1,26.2,55.7,62.2,5.4,68.9,0
2024-25,regular-season,-,44,38,227.1,33.4,7.8,23.3,55.1,60.6,5.5,67.2,0
2024-25,regular-season,-,48,34,233.3,32.8,8.2,25.0,54.9,59.8,5.4,66.3,0
2024-25,regular-season,-,52,30,231.3,33.8,8.6,25.5,55.2,61.3,4.9,67.3,0
2024-25,regular-season,-,50,32,232.5,32.6,7.5,22.9,54.7,59.6,5.4,66.1,0
2024-25,regular-season,-,50,32,229.2,33.5,8.8,26.1,53.7,62.4,4.8,68.5,0
2024-25,regular-season,-,50,32,226.2,32.8,8.6,26.2,54.0,60.7,4.9,66.7,0
2024-25,regular-season,-,48,33,230.6,34.3,7.0,20.3,58.7,58.4,5.8,64.8,0
2024-25,regular-season,-,37,45,232.4,33.7,8.2,24.3,54.7,61.5,5.5,68.4,0
2024-25,regular-season,-,48,34,228.9,35.1,7.9,22.4,55.4,63.5,4.9,69.6,0
2024-25,regular-season,-,49,33,229.4,33.2,8.0,24.2,54.6,60.9,5.3,67.5,0
2024-25,regular-season,-,21,61,232.0,31.5,7.2,22.9,53.8,58.5,5.2,64.8,0
2024-25,regular-season,-,50,31,230.1,31.9,8.7,27.4,52.2,61.0,4.9,67.3,0
2024-25,regular-season,-,68,14,230.4,34.1,9.3,27.3,57.7,59.1,5.6,65.5,0
2024-25,regular-season,-,41,41,227.0,30.7,7.5,24.3,50.7,60.5,5.2,67.4,0
2024-25,regular-season,-,24,58,229.2,29.4,7.0,23.7,50.9,57.8,4.7,63.7,0
2024-25,regular-season,-,36,46,231.2,32.9,8.0,24.4,53.3,61.8,4.6,67.7,0
2024-25,regular-season,-,36,46,233.1,31.4,7.5,23.9,53.1,59.2,4.7,64.9,0
2024-25,regular-season,-,40,42,229.3,33.2,7.9,23.8,53.1,62.5,5.2,69.3,0
2024-25,regular-season,-,34,48,228.0,32.7,8.3,25.2,54.7,59.8,5.7,66.7,0
2024-25,regular-season,-,30,52,228.1,32.5,7.4,22.7,53.8,60.5,5.0,66.7,0
2024-25,regular-season,-,17,65,232.2,33.4,7.7,23.0,55.4,60.4,5.5,67.0,0
2024-25,regular-season,-,18,64,232.6,33.1,7.8,23.6,55.3,59.9,5.2,66.1,0
2024-25,playoffs,-,6,5,234.0,32.3,7.5,23.4,57.5,56.2,5.2,61.7,0
2024-25,playoffs,-,5,4,229.7,32.3,5.4,16.8,53.9,60.0,5.4,66.7,0
2024-25,playoffs,-,7,7,235.2,34.1,10.6,31.0,54.0,63.2,5.0,69.7,0
2024-25,playoffs,-,2,4,231.0,32.8,8.0,24.4,55.3,59.3,5.3,65.7,0
2024-25,playoffs,-,5,7,231.3,28.3,7.9,28.0,52.5,53.8,5.2,59.7,0
2024-25,playoffs,-,3,4,234.6,33.3,9.6,28.8,55.0,60.5,4.0,65.3,0
2024-25,playoffs,-,15,8,231.0,32.5,7.5,23.1,56.1,58.0,5.5,64.3,0
2024-25,playoffs,-,3,4,228.5,29.4,6.4,21.8,51.7,56.9,4.9,62.8,0
2024-25,playoffs,-,1,4,227.4,29.4,5.6,19.0,54.6,53.8,6.0,60.5,0
2024-25,playoffs,-,0,4,239.9,34.0,8.8,25.7,68.8,49.5,9.0,56.9,0
2024-25,playoffs,-,0,4,219.1,27.3,8.8,32.1,47.8,57.1,3.5,61.6,0
2024-25,playoffs,-,1,4,224.8,33.2,5.6,16.9,51.2,64.8,4.0,70.3,0
2024-25,playoffs,-,9,6,233.6,30.5,9.1,29.8,54.1,56.4,5.9,63.3,0
2024-25,playoffs,-,10,8,229.9,30.8,7.8,25.2,52.7,58.5,4.6,64.0,0
2024-25,playoffs,-,16,7,230.9,32.1,8.1,25.3,55.6,57.8,5.3,63.9,0
2024-25,playoffs,-,1,4,223.6,28.4,7.0,24.6,47.6,59.7,6.0,68.3,0
2024-25,play-in,-,0,2,236.2,33.0,6.0,18.2,53.0,62.3,4.0,67.3,0
2024-25,play-in,-,0,1,230.1,31.0,5.0,16.1,45.0,68.9,5.0,77.5,0
2024-25,play-in,-,1,1,221.6,30.0,10.0,33.3,59.5,50.4,8.0,58.3,0
2024-25,play-in,-,1,0,227.9,26.0,11.0,42.3,45.0,57.8,2.0,60.5,0
2024-25,play-in,-,1,1,237.3,34.0,8.5,25.0,59.5,57.1,8.0,66.0,0
2024-25,play-in,-,2,0,251.1,38.5,11.0,28.6,59.5,64.7,3.0,68.1,0
2024-25,play-in,-,1,0,204.9,42.0,10.0,23.8,61.0,68.9,6.0,76.4,0
2024-25,play-in,-,0,1,232.0,29.0,6.0,20.7,42.0,69.0,5.0,78.4,0
2024-25,ist,-,4,2,230.2,34.8,7.2,20.6,56.0,62.2,5.7,69.2,0
2024-25,ist,-,3,1,238.9,33.5,8.0,23.9,55.5,60.4,5.3,66.7,0
2024-25,ist,-,1,3,237.2,27.5,6.0,21.8,49.5,55.6,6.0,63.2,0
2024-25,ist,-,0,4,231.0,32.0,8.5,26.6,55.5,57.7,7.8,67.0,0
2024-25,ist,-,2,2,228.1,37.3,8.5,22.8,60.8,61.3,7.5,70.0,0
2024-25,ist,-,2,2,227.7,33.0,8.0,24.2,53.8,61.4,4.8,67.3,0
2024-25,ist,-,3,2,228.0,34.0,9.6,28.2,58.2,58.4,4.0,62.7,0
2024-25,ist,-,2,2,227.7,33.5,9.8,29.1,57.3,58.5,5.0,64.1,0
2024-25,ist,-,3,1,240.1,37.0,9.8,26.4,59.8,61.9,5.8,68.5,0
2024-25,ist,-,3,2,233.4,35.4,7.2,20.3,59.2,59.8,5.2,65.6,0
2024-25,ist,-,4,2,232.9,34.7,8.3,24.0,59.0,58.8,5.3,64.6,0
2024-25,ist,-,0,4,223.5,28.3,5.5,19.5,46.0,61.4,4.8,68.5,0
2024-25,ist,-,2,2,220.4,34.0,7.5,22.1,53.0,64.2,4.0,69.4,0
2024-25,ist,-,2,2,213.3,33.3,8.8,26.3,51.8,64.3,3.8,69.3,0
2024-25,ist,-,1,3,240.0,33.8,7.5,22.2,63.5,53.1,5.3,57.9,0
2024-25,ist,-,2,2,240.7,29.0,6.8,23.3,44.3,65.5,3.8,71.6,0
2024-25,ist,-,6,0,230.1,34.3,8.3,24.3,57.2,60.1,7.0,68.4,0
2024-25,ist,-,2,2,235.2,33.8,10.0,29.6,55.3,61.1,4.3,66.2,0
2024-25,ist,-,1,3,231.2,32.8,9.5,29.0,56.8,57.7,6.5,65.2,0
2024-25,ist,-,4,1,229.6,35.8,11.4,31.8,59.4,60.3,4.8,65.6,0
2024-25,ist,-,5,1,221.1,33.2,8.2,24.6,58.3,56.9,6.7,64.2,0
2024-25,ist,-,3,2,228.3,31.2,7.2,23.1,48.4,64.5,4.8,71.6,0
2024-25,ist,-,2,2,216.5,26.8,6.3,23.4,49.5,54.0,4.0,58.8,0
2024-25,ist,-,3,1,225.0,37.8,9.8,25.8,56.3,67.1,5.0,73.7,0
2024-25,ist,-,2,2,236.0,27.5,6.8,24.5,45.3,60.8,4.0,66.7,0
2024-25,ist,-,1,3,235.5,33.5,7.8,23.1,57.8,58.0,6.0,64.7,0
2024-25,ist,-,2,2,232.3,32.0,9.8,30.5,50.8,63.1,4.3,68.8,0
2024-25,ist,-,1,3,237.6,36.3,7.8,21.4,65.8,55.1,6.3,60.9,0
2024-25,ist,-,0,4,220.5,28.5,5.8,20.2,48.8,58.5,4.0,63.7,0
2024-25,ist,-,0,4,234.5,38.5,8.3,21.4,57.0,67.5,6.3,75.9,0
2025-26,regular-season,-,16,19,227.8,31.6,8.6,27.3,52.6,60.0,4.4,65.5,0
2025-26,regular-season,-,21,12,230.6,31.5,8.2,26.1,56.7,55.5,6.3,62.5,0
2025-26,regular-season,-,10,21,225.3,29.1,8.5,29.0,49.9,58.3,4.7,64.4,0
2025-26,regular-season,-,11,22,232.5,32.5,8.3,25.5,57.5,56.6,6.0,63.2,0
2025-26,regular-season,-,16,17,230.5,35.0,8.2,23.5,57.5,60.9,5.4,67.2,0
2025-26,regular-season,-,19,16,233.6,32.4,9.1,28.0,56.2,57.7,6.4,65.1,0
2025-26,regular-season,-,12,23,233.3,34.4,7.8,22.8,60.0,57.3,5.5,63.1,0
2025-26,regular-season,-,23,10,233.1,33.8,9.8,29.1,53.6,63.0,5.4,70.1,0
2025-26,regular-season,-,24,9,229.9,32.6,8.7,26.6,56.4,57.8,4.8,63.2,0
2025-26,regular-season,-,18,16,229.6,32.1,9.1,28.3,55.5,57.9,5.5,64.2,0
2025-26,regular-season,-,21,10,230.9,32.7,9.4,28.6,52.5,62.2,4.2,67.5,0
2025-26,regular-season,-,6,28,231.9,31.5,6.5,20.6,55.1,57.1,5.6,63.5,0
2025-26,regular-season,-,12,21,227.0,31.0,8.5,27.4,53.6,57.7,5.3,64.1,0
2025-26,regular-season,-,20,11,225.2,30.8,8.7,28.2,50.7,60.8,4.1,66.2,0
2025-26,regular-season,-,15,18,233.5,34.7,8.0,23.0,58.4,59.4,6.9,67.4,0
2025-26,regular-season,-,18,14,230.3,34.9,10.4,29.7,59.1,59.1,6.0,65.7,0
2025-26,regular-season,-,14,19,222.1,31.8,8.1,25.5,55.0,57.8,5.2,63.8,0
2025-26,regular-season,-,21,13,229.2,33.0,8.4,25.5,55.3,59.6,5.5,66.2,0
2025-26,regular-season,-,8,27,233.2,30.8,8.6,27.8,54.0,57.0,5.7,63.8,0
2025-26,regular-season,-,23,10,229.3,32.5,7.6,23.5,54.9,59.2,5.9,66.3,0
2025-26,regular-season,-,29,5,232.8,35.1,8.9,25.2,56.6,62.1,5.4,68.7,0
2025-26,regular-season,-,19,15,230.4,33.0,8.5,25.7,54.4,60.6,5.1,67.0,0
