SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,G,MIN,BOX_OUTS,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
2022-23,Regular+Season,CHI,1610612741,Chicago Bulls,Andre Drummond,203083,67,12.7,1.2,0.6,0.5,1.1,0.9,53.8,46.2,94.9,74.4
2022-23,Regular+Season,GSW,1610612744,Golden State Warriors,Andre Iguodala,2738,8,14.1,0.3,0.0,0.3,0.3,0.0,0.0,100,100,0.0
2022-23,Regular+Season,IND,1610612754,Indiana Pacers,Andrew Nembhard,1629614,75,27.6,0.3,0.0,0.3,0.2,0.1,0.0,100,94.1,23.5
2022-23,Regular+Season,GSW,1610612744,Golden State Warriors,Andrew Wiggins,203952,37,32.2,0.7,0.1,0.6,0.7,0.2,19.2,80.8,100,28.0
2022-23,Regular+Season,POR,1610612757,Portland Trail Blazers,Anfernee Simons,1629014,62,35.0,0.1,0.0,0.1,0.1,0.1,0.0,100,100,60.0
2022-23,Regular+Season,LAL,1610612747,Los Angeles Lakers,Anthony Davis,203076,55,34.5,2.0,0.7,1.3,2.0,1.5,35.1,64.9,100,76.9
2022-23,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Anthony Edwards,1630162,79,36.0,0.2,0.0,0.2,0.2,0.1,12.5,87.5,93.8,56.3
2022-23,Regular+Season,WAS,1610612764,Washington Wizards,Anthony Gill,1630264,47,12.3,0.7,0.1,0.6,0.5,0.1,9.4,90.6,92.3,26.9
2022-23,Regular+Season,GSW,1610612744,Golden State Warriors,Anthony Lamb,1630237,62,19.3,0.7,0.1,0.6,0.6,0.3,13.6,86.4,92.9,40.5
2022-23,Regular+Season,LAL,1610612747,Los Angeles Lakers,Austin Reaves,1630559,64,28.8,0.3,0.0,0.3,0.3,0.0,0.0,100,100,11.8
2022-23,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Austin Rivers,203085,43,22.2,0.2,0.0,0.2,0.2,0.0,0.0,100,100,0.0
2022-23,Regular+Season,CHI,1610612741,Chicago Bulls,Ayo Dosunmu,1630245,80,26.2,0.1,0.0,0.1,0.1,0.0,0.0,100,87.5,25.0
2022-23,Regular+Season,MIA,1610612748,Miami Heat,Bam Adebayo,1628389,75,34.6,2.2,0.3,1.9,1.9,0.8,14.4,85.6,94.6,38.8
2022-23,Regular+Season,BKN,1610612751,Brooklyn Nets,Ben Simmons,1627732,42,26.3,0.8,0.1,0.7,0.7,0.4,12.1,87.9,93.3,60.0
2022-23,Regular+Season,IND,1610612754,Indiana Pacers,Bennedict Mathurin,1631097,77,28.8,0.6,0.1,0.5,0.5,0.1,14.0,86.0,94.7,26.3
2022-23,Regular+Season,PHX,1610612756,Phoenix Suns,Bismack Biyombo,202687,60,14.6,1.3,0.2,1.1,1.1,0.7,14.7,85.3,98.6,55.7
2022-23,Regular+Season,BOS,1610612738,Boston Celtics,Blake Griffin,201933,40,14.2,1.1,0.2,0.9,0.9,0.4,16.7,83.3,90.2,41.5
2022-23,Regular+Season,SAS,1610612759,San Antonio Spurs,Blake Wesley,1631104,33,19.6,0.1,0.0,0.1,0.1,0.0,0.0,100,100,0.0
