SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
2016-17,Pre+Season,LAC,LA Clippers,4,3,1,15.0,102.9,125.0,-22.1,22.2,0.33,5.4,-,-,-,17.6,47.5,62.7,106.56,41.1
2016-17,Pre+Season,ATL,Atlanta Hawks,3,2,1,10.0,104.2,81.0,23.2,33.3,1.00,10.7,-,73.3,-,12.5,52.9,59.6,110.37,73.6
2016-17,Pre+Season,BOS,Boston Celtics,3,2,1,11.0,96.0,70.8,25.2,77.8,2.33,21.2,18.2,80.0,53.8,12.0,50.0,55.5,110.60,79.4
2016-17,Pre+Season,CHA,Charlotte Hornets,3,2,1,16.0,94.3,80.0,14.3,63.6,2.33,13.7,-,-,-,8.6,35.3,42.0,102.48,63.0
2016-17,Pre+Season,DAL,Dallas Mavericks,3,2,1,9.0,115.0,82.6,32.4,75.0,2.00,20.7,-,-,-,15.0,50.0,57.3,109.57,67.5
2016-17,Pre+Season,DEN,Denver Nuggets,4,2,2,16.0,125.0,117.6,7.4,43.8,2.33,13.7,40.0,50.0,45.7,8.3,50.0,55.3,105.36,61.9
2016-17,Pre+Season,MEM,Memphis Grizzlies,2,2,0,18.0,115.4,97.4,18.0,64.3,4.50,17.0,28.6,68.4,47.5,5.1,50.0,55.4,101.08,62.6
2016-17,Pre+Season,MIL,Milwaukee Bucks,2,2,0,6.0,66.7,72.7,-6.1,50.0,1.00,7.1,-,-,-,8.3,27.8,37.2,94.90,16.7
2016-17,Pre+Season,NYK,New York Knicks,3,2,1,7.0,100.0,88.2,11.8,85.7,2.00,23.1,-,-,-,17.6,46.9,50.4,122.31,50.0
2016-17,Pre+Season,ORL,Orlando Magic,5,2,3,19.0,92.9,83.0,9.9,40.0,0.75,10.5,-,72.0,-,19.0,44.3,46.9,110.88,50.0
2016-17,Pre+Season,PHI,Philadelphia 76ers,4,2,2,24.0,86.8,98.2,-11.4,71.4,0.91,15.2,18.2,62.1,43.1,20.8,43.1,52.9,107.35,40.3
2016-17,Pre+Season,SAS,San Antonio Spurs,3,2,1,7.0,77.8,43.8,34.0,100,1.00,17.4,11.1,-,-,22.2,46.2,50.4,122.43,112.5
2016-17,Pre+Season,UTA,Utah Jazz,5,2,3,10.0,100.0,131.8,-31.8,40.0,1.00,6.7,50.0,-,-,8.7,35.7,51.4,111.32,40.0
2016-17,Pre+Season,WAS,Washington Wizards,4,2,2,18.0,114.9,92.9,22.0,55.6,1.43,15.2,50.0,-,-,14.9,51.4,61.0,117.78,73.3
2016-17,Pre+Season,BKN,Brooklyn Nets,3,1,2,7.0,58.8,100.0,-41.2,66.7,2.00,9.5,-,-,-,5.9,23.1,31.1,124.35,12.0
2016-17,Pre+Season,CLE,Cleveland Cavaliers,3,1,2,10.0,76.2,96.0,-19.8,83.3,1.67,17.9,15.4,-,-,14.3,36.1,39.6,112.35,28.6
2016-17,Pre+Season,DET,Detroit Pistons,3,1,2,7.0,85.7,73.3,12.4,25.0,1.00,5.9,22.2,-,-,7.1,33.3,42.3,102.81,60.0
2016-17,Pre+Season,HOU,Houston Rockets,2,1,1,19.0,100.0,102.5,-2.5,46.2,0.67,11.8,36.8,64.0,52.3,23.1,48.4,54.4,100.93,49.5
2016-17,Pre+Season,IND,Indiana Pacers,3,1,2,4.0,71.4,100.0,-28.6,100,1.00,22.2,-,-,-,28.6,50.0,50.0,100.47,47.8
2016-17,Pre+Season,LAL,Los Angeles Lakers,5,1,4,21.0,69.0,81.4,-12.3,22.2,0.50,3.9,25.0,77.8,49.2,9.5,27.8,33.7,97.24,19.1
2016-17,Pre+Season,Madrid Real Madrid,Madrid Real Madrid,1,1,0,9.0,161.1,121.1,40.1,70.0,2.33,25.0,-,77.8,-,16.7,83.3,84.3,97.46,64.0
2016-17,Pre+Season,MIN,Minnesota Timberwolves,1,1,0,4.0,25.0,28.6,-3.6,0.0,0.00,0.0,-,-,-,62.5,33.3,33.3,94.74,-100.0
2016-17,Pre+Season,OKC,Oklahoma City Thunder,3,1,2,19.0,109.5,130.0,-20.5,41.2,1.17,12.1,41.7,-,-,14.3,50.0,53.1,103.42,38.6
2016-17,Pre+Season,SAC,Sacramento Kings,3,1,2,5.0,100.0,135.3,-35.3,66.7,0.40,10.0,-,-,-,29.4,58.3,75.4,150.09,32.2
2016-17,Pre+Season,TOR,Toronto Raptors,3,1,2,12.0,92.6,107.1,-14.6,22.2,0.33,4.8,59.1,-,-,22.2,36.2,39.5,112.09,27.0
2016-17,Pre+Season,Barcelona FC Barcelona Lassa,Barcelona FC Barcelona Lassa,1,0,1,5.0,70.0,130.0,-60.0,100,1.00,15.4,-,-,-,20.0,31.3,39.4,98.97,-4.0
2016-17,Pre+Season,CHI,Chicago Bulls,3,0,3,16.0,71.9,81.8,-9.9,42.9,0.38,7.7,23.5,56.0,42.9,25.0,34.1,42.2,98.63,27.5
2016-17,Pre+Season,MIA,Miami Heat,3,0,3,12.0,57.7,79.3,-21.6,20.0,0.17,3.1,29.4,-,-,23.1,25.0,30.4,109.85,13.5
2016-17,Pre+Season,NOP,New Orleans Pelicans,2,0,2,12.0,51.9,111.5,-59.7,0.0,0.00,0.0,-,-,-,25.9,17.4,26.0,107.33,-35.1
2016-17,Regular+Season,BOS,Boston Celtics,49,32,17,187.0,119.7,107.9,11.7,51.4,1.67,13.6,36.1,69.1,53.6,10.8,52.0,61.7,103.74,60.9
2016-17,Regular+Season,WAS,Washington Wizards,55,32,23,210.0,116.0,104.4,11.5,45.8,1.69,12.9,34.0,67.2,51.7,10.0,52.0,59.6,100.80,62.3
2016-17,Regular+Season,SAS,San Antonio Spurs,43,29,14,163.0,113.1,91.6,21.5,55.4,1.63,14.1,31.8,69.3,50.4,11.5,50.2,57.7,101.82,68.0
2016-17,Regular+Season,UTA,Utah Jazz,45,27,18,143.0,116.4,104.5,11.9,62.4,1.89,17.3,29.6,72.7,53.1,12.3,56.5,62.1,97.15,62.8
2016-17,Regular+Season,ATL,Atlanta Hawks,44,26,18,174.0,109.6,97.6,12.0,60.9,1.66,15.5,30.0,68.3,50.3,12.5,50.9,57.9,103.82,60.1
2016-17,Regular+Season,OKC,Oklahoma City Thunder,42,26,16,154.0,117.9,95.3,22.6,29.9,1.14,8.9,37.0,69.7,52.9,10.3,50.3,55.7,105.66,61.5
2016-17,Regular+Season,TOR,Toronto Raptors,49,25,24,175.0,109.8,97.5,12.3,38.5,1.58,11.7,34.2,75.0,54.7,9.6,49.8,54.7,100.79,59.0
2016-17,Regular+Season,MEM,Memphis Grizzlies,46,24,22,190.0,108.4,96.4,12.0,53.3,1.41,14.0,34.0,72.1,52.3,13.4,48.4,54.4,96.55,55.2
2016-17,Regular+Season,SAC,Sacramento Kings,49,24,25,210.0,100.2,109.6,-9.4,60.6,1.32,14.6,29.6,65.3,47.9,14.6,46.3,53.3,99.30,44.1
2016-17,Regular+Season,CHI,Chicago Bulls,42,23,19,159.0,109.3,101.9,7.4,44.7,1.89,11.5,32.6,68.5,49.3,8.1,43.1,52.3,98.09,55.1
2016-17,Regular+Season,CLE,Cleveland Cavaliers,36,23,13,139.0,115.4,104.5,10.9,55.0,1.74,14.8,30.4,74.5,51.6,11.3,54.9,60.4,103.37,56.0
2016-17,Regular+Season,HOU,Houston Rockets,41,23,18,135.0,104.5,111.0,-6.5,51.8,1.07,12.0,28.5,67.7,50.3,14.1,48.8,57.0,104.74,47.9
2016-17,Regular+Season,POR,Portland Trail Blazers,47,23,24,233.0,107.4,105.1,2.4,40.0,0.96,10.7,32.8,69.9,52.4,14.2,48.0,55.9,102.49,54.3
2016-17,Regular+Season,CHA,Charlotte Hornets,51,22,29,185.0,115.1,123.6,-8.5,57.1,2.10,15.8,32.6,68.2,50.4,10.2,52.9,58.4,101.24,46.9
2016-17,Regular+Season,IND,Indiana Pacers,38,22,16,164.0,103.4,106.3,-2.9,45.9,1.47,12.2,24.8,62.7,44.4,10.4,46.2,53.2,96.61,47.9
2016-17,Regular+Season,MIA,Miami Heat,44,21,23,165.0,97.7,106.7,-9.0,46.5,1.02,11.8,33.5,70.8,51.0,15.2,45.1,50.3,99.78,38.8
2016-17,Regular+Season,MIL,Milwaukee Bucks,39,21,18,149.0,88.8,102.5,-13.7,50.0,1.04,12.2,23.5,61.7,43.3,14.7,43.0,48.5,101.62,40.9
2016-17,Regular+Season,PHI,Philadelphia 76ers,44,21,23,170.0,100.5,110.0,-9.5,52.3,0.79,12.0,34.7,71.1,54.1,19.7,47.0,56.0,105.08,42.4
2016-17,Regular+Season,LAC,LA Clippers,34,20,14,116.0,100.4,101.7,-1.3,48.1,1.22,11.3,32.9,74.3,50.8,12.2,45.5,51.4,103.37,53.2
