SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Keith Appling,203951,5,0,5,5.4,6.4,8.8,0.2,0.0,1.0,0.6,0.2,3.1,3.1
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Kelly Olynyk,203482,68,39,29,20.2,30.5,25.0,1.5,0.1,3.5,3.8,1.8,4.9,5.9
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Kelly Oubre Jr.,1626162,63,31,32,10.7,7.8,7.6,0.2,0.1,0.6,0.6,0.3,2.6,4.3
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Kemba Walker,202689,81,47,34,35.6,64.5,77.0,5.2,1.0,12.0,14.0,6.7,8.1,10.4
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Kendall Marshall,203088,30,3,27,13.3,23.9,27.1,2.4,0.3,5.6,6.1,3.0,10.2,12.7
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Kendrick Perkins,2570,37,13,24,14.6,19.0,10.9,0.8,0.1,1.2,1.9,1.0,4.4,5.1
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Kenneth Faried,202702,67,26,41,25.3,27.9,21.2,1.2,0.1,2.4,3.1,1.4,4.2,5.2
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Kent Bazemore,203145,75,44,31,27.8,34.1,31.7,2.3,0.3,4.0,5.3,2.7,6.7,8.0
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Kentavious Caldwell-Pope,203484,76,41,35,36.7,22.7,31.2,1.8,0.3,4.1,4.7,2.4,8.0,10.4
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Kevin Durant,201142,72,52,20,35.8,36.6,48.7,5.0,0.4,10.1,12.1,5.8,13.7,15.8
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Kevin Garnett,708,38,14,24,14.6,26.3,13.7,1.6,0.2,2.7,3.8,1.9,6.2,7.2
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Kevin Love,201567,77,53,24,31.5,44.1,37.2,2.4,0.4,4.2,6.0,3.0,5.4,6.8
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Kevin Martin,2755,55,24,31,19.9,15.4,20.7,1.1,0.3,2.4,2.6,1.4,6.8,9.0
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Kevin Seraphin,202338,48,15,33,11.0,16.5,12.4,1.0,0.0,2.0,2.5,1.2,5.9,7.5
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Kevon Looney,1626172,5,4,1,4.1,7.2,4.6,0.0,0.0,0.6,0.4,0.2,0.0,2.8
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Khris Middleton,203114,79,33,46,36.1,37.1,45.3,4.2,0.5,7.7,9.8,5.3,11.3,14.1
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Kirk Hinrich,2550,46,26,20,13.7,20.1,20.5,1.6,0.3,2.8,4.0,2.1,7.9,10.4
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Klay Thompson,202691,80,71,9,33.3,25.1,39.7,2.1,0.6,4.0,5.3,3.0,8.3,11.8
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Kobe Bryant,977,66,13,53,28.2,24.1,36.8,2.8,0.2,5.3,6.8,3.2,11.6,13.3
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Kosta Koufos,201585,77,32,45,19.0,16.6,11.6,0.4,0.0,1.2,1.2,0.5,2.6,3.1
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Kostas Papanikolaou,203123,26,8,18,11.3,11.8,10.1,0.6,0.2,1.7,1.6,0.9,5.2,7.8
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Kris Humphries,2743,53,29,24,15.8,22.6,16.0,0.7,0.2,1.4,1.5,0.8,3.0,3.7
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Kristaps Porziņģis,204001,72,28,44,28.4,40.9,36.6,1.3,0.2,2.9,3.4,1.6,3.2,4.0
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Kyle Anderson,203937,78,64,14,16.0,21.5,18.3,1.6,0.2,2.9,3.7,1.9,7.3,8.8
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Kyle Korver,2594,80,46,34,30.0,23.1,24.8,2.1,0.3,3.4,4.5,2.3,8.9,9.8
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Kyle Lowry,200768,76,53,23,36.9,66.3,77.6,6.4,0.6,12.2,16.0,7.8,9.7,11.7
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Kyle O'Quinn,203124,65,26,39,11.8,21.5,14.8,1.1,0.1,2.3,2.7,1.4,5.2,6.3
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Kyle Singler,202713,68,43,25,14.4,9.1,8.9,0.4,0.0,0.9,0.9,0.4,3.9,4.7
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Kyrie Irving,202681,53,37,16,31.5,51.3,62.2,4.7,0.8,8.8,11.9,5.9,9.2,11.5
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,LaMarcus Aldridge,200746,74,61,13,30.6,37.3,35.8,1.5,0.2,3.0,3.8,1.8,4.0,4.8
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Lamar Patterson,203934,35,23,12,11.3,12.6,11.1,1.1,0.0,2.0,2.8,1.2,8.8,9.8
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Lance Stephenson,202362,69,36,33,19.9,18.2,22.1,1.9,0.2,3.9,4.6,2.3,10.6,12.5
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Lance Thomas,202498,59,25,34,22.3,23.4,23.8,0.9,0.1,2.4,2.2,1.1,3.8,4.8
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Langston Galloway,204038,82,32,50,24.8,36.4,39.8,2.5,0.4,5.3,6.3,3.2,6.9,8.7
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Larry Nance Jr.,1626204,63,14,49,20.1,27.2,14.6,0.7,0.1,2.0,2.0,0.9,2.6,3.4
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Lavoy Allen,202730,79,43,36,20.2,26.3,17.7,1.0,0.2,2.5,2.6,1.3,3.7,4.9
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,LeBron James,2544,76,56,20,35.6,50.7,63.4,6.8,0.9,13.6,17.8,8.3,13.4,16.5
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Leandro Barbosa,2571,68,60,8,15.9,16.3,19.6,1.2,0.3,2.5,3.0,1.7,7.4,10.5
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Lorenzo Brown,203485,8,1,7,7.6,16.4,17.9,1.4,0.4,2.3,3.1,1.8,8.4,10.7
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Lou Amundson,200811,29,11,18,7.0,8.7,6.6,0.4,0.0,0.7,1.0,0.5,4.8,6.0
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Lou Williams,101150,67,14,53,28.5,26.1,36.2,2.5,0.3,5.5,6.0,3.0,9.5,11.4
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Luc Mbah a Moute,201601,75,49,26,17.0,11.1,8.5,0.4,0.1,1.1,1.1,0.6,3.6,5.3
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Lucas Nogueira,203512,29,17,12,7.8,6.8,4.8,0.2,0.0,0.7,0.6,0.3,3.6,4.1
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Luis Montero,1626242,12,6,6,3.5,3.3,4.8,0.1,0.0,0.3,0.2,0.1,2.5,2.5
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Luis Scola,2449,75,49,26,21.6,30.5,25.9,0.9,0.1,2.0,2.4,1.2,2.9,3.8
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Luke Babbitt,202337,47,16,31,18.0,18.4,16.0,1.1,0.1,2.0,2.6,1.2,6.1,6.6
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Luol Deng,2736,74,45,29,32.4,40.4,29.8,1.9,0.2,3.7,4.7,2.3,4.7,5.6
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Manu Ginobili,1938,58,47,11,19.6,27.8,33.1,3.1,0.6,5.5,7.5,4.0,11.0,14.3
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Marc Gasol,201188,52,30,22,34.4,48.5,50.5,3.8,0.3,8.3,9.2,4.5,7.8,9.2
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Marcelo Huertas,1626273,53,8,45,16.4,29.5,31.5,3.4,0.3,6.8,8.5,4.1,11.7,14.0
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Marcin Gortat,101162,75,35,40,30.1,32.4,24.6,1.4,0.2,2.7,3.4,1.7,4.4,5.2
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Marco Belinelli,201158,67,27,40,24.6,20.8,27.4,1.9,0.3,3.6,4.9,2.4,9.0,11.6
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Marcus Morris Sr.,202694,80,42,38,35.7,36.6,29.0,2.5,0.2,4.9,6.2,2.9,6.9,8.0
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Marcus Smart,203935,61,36,25,27.3,33.0,35.1,3.0,0.3,6.3,7.6,3.7,9.2,11.3
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Marcus Thornton,201977,61,32,29,18.2,16.0,20.5,1.4,0.2,2.7,3.4,1.8,8.6,11.0
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Mario Chalmers,201596,61,38,23,22.5,41.3,45.1,3.8,0.6,7.4,9.1,4.7,9.1,11.3
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Mario Hezonja,1626209,78,33,45,17.9,16.9,17.6,1.4,0.2,3.1,3.1,1.7,8.1,10.1
