SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
2024-25,Pre+Season,MEM,Memphis Grizzlies,17.6,29.4,59.9,5.0,9.8,51.0,0.8,3.4,23.5,0.2,2.0,10.0,7.4,18.6,39.8,7.8,23.8,32.8
2024-25,Pre+Season,MIA,Miami Heat,22.8,34.2,66.7,3.0,7.8,38.5,0.8,4.0,20.0,0.4,2.0,20.0,6.2,17.2,36.0,7.8,23.8,32.8
2024-25,Pre+Season,MIL,Milwaukee Bucks,12.8,27.0,47.2,2.8,8.8,31.4,3.3,9.5,34.2,2.5,5.5,45.5,6.8,15.0,45.0,7.5,21.5,34.9
2024-25,Pre+Season,MIN,Minnesota Timberwolves,20.2,33.0,61.2,4.0,8.6,46.5,1.4,4.0,35.0,1.8,3.2,56.3,7.2,20.6,35.0,9.2,25.2,36.5
2024-25,Pre+Season,NOP,New Orleans Pelicans,12.7,19.0,66.7,5.0,11.3,44.1,5.7,11.7,48.6,3.0,6.0,50.0,3.0,13.0,23.1,7.7,26.0,29.5
2024-25,Pre+Season,NYK,New York Knicks,17.8,28.6,62.2,2.8,9.6,29.2,3.8,7.8,48.7,2.6,4.2,61.9,5.4,17.4,31.0,7.0,23.6,29.7
2024-25,Pre+Season,New Zealand Breakers,New Zealand Breakers,11.3,17.3,65.4,2.7,9.3,28.6,3.3,8.3,40.0,2.3,7.0,33.3,5.0,13.7,36.6,6.0,26.3,22.8
2024-25,Pre+Season,OKC,Oklahoma City Thunder,20.8,31.2,66.7,2.8,7.8,35.9,3.0,5.6,53.6,2.4,4.8,50.0,6.0,15.2,39.5,8.8,26.6,33.1
2024-25,Pre+Season,ORL,Orlando Magic,18.0,28.7,62.8,3.7,8.3,44.0,0.7,3.7,18.2,3.0,4.3,69.2,4.0,9.7,41.4,7.7,28.0,27.4
2024-25,Pre+Season,PHI,Philadelphia 76ers,21.2,34.2,62.0,2.7,7.8,34.0,1.2,4.3,26.9,0.7,1.3,50.0,4.2,13.5,30.9,9.0,26.3,34.2
