SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2016-17,Regular+Season,POR,Portland Trail Blazers,47,23,24,4.9,1.1,1.3,0.9,4.3,1.7,1.5,1.1,3.8
2016-17,Regular+Season,CHA,Charlotte Hornets,51,22,29,3.6,0.7,1.6,0.4,3.0,1.1,1.3,0.8,3.2
2016-17,Regular+Season,IND,Indiana Pacers,38,22,16,4.3,1.3,0.9,0.5,2.3,0.9,1.5,0.4,3.3
2016-17,Regular+Season,MIA,Miami Heat,44,21,23,3.7,1.1,1.1,0.7,3.0,1.4,1.0,0.7,2.9
2016-17,Regular+Season,MIL,Milwaukee Bucks,39,21,18,3.8,1.0,1.0,0.7,3.6,1.3,1.2,1.0,3.2
2016-17,Regular+Season,PHI,Philadelphia 76ers,44,21,23,3.9,1.0,1.3,0.4,2.7,1.6,1.1,0.8,2.9
2016-17,Regular+Season,LAC,LA Clippers,34,20,14,3.4,0.9,1.3,0.6,2.7,0.9,0.7,0.7,1.9
2016-17,Regular+Season,DAL,Dallas Mavericks,41,19,22,3.6,1.5,0.4,0.5,2.3,1.0,0.9,0.6,2.9
2016-17,Regular+Season,NYK,New York Knicks,43,19,24,4.1,0.9,1.5,0.7,3.0,1.2,2.0,0.7,3.4
2016-17,Regular+Season,ORL,Orlando Magic,39,18,21,3.9,0.8,1.3,0.3,2.9,1.3,1.2,0.8,3.2
2016-17,Regular+Season,NOP,New Orleans Pelicans,44,17,27,4.2,1.3,1.0,0.6,2.9,1.3,1.0,0.6,2.8
2016-17,Regular+Season,PHX,Phoenix Suns,50,17,33,3.6,1.2,1.0,0.9,3.2,1.3,1.5,0.9,3.5
2016-17,Regular+Season,DEN,Denver Nuggets,40,16,24,3.2,0.6,1.1,0.6,2.5,0.9,0.7,0.8,2.5
2016-17,Regular+Season,GSW,Golden State Warriors,25,16,9,4.0,1.6,1.5,0.7,3.1,1.0,0.8,0.6,2.6
2016-17,Regular+Season,DET,Detroit Pistons,37,15,22,3.9,0.8,1.8,0.4,2.3,1.1,1.5,0.8,3.5
2016-17,Regular+Season,MIN,Minnesota Timberwolves,45,15,30,3.8,1.1,1.2,0.6,2.6,1.4,1.1,0.7,3.4
2016-17,Regular+Season,LAL,Los Angeles Lakers,43,14,29,3.0,1.0,1.0,0.9,2.6,0.8,1.3,0.6,2.8
2016-17,Regular+Season,BKN,Brooklyn Nets,41,13,28,3.4,0.8,0.9,0.7,2.6,1.1,1.7,0.5,2.9
2016-17,Playoffs,CLE,Cleveland Cavaliers,7,5,2,3.8,0.7,1.3,0.0,2.0,1.3,0.7,0.4,1.7
2016-17,Playoffs,WAS,Washington Wizards,7,5,2,3.3,1.6,0.9,1.1,1.7,0.3,1.3,0.6,2.9
2016-17,Playoffs,GSW,Golden State Warriors,4,4,0,3.4,1.0,2.0,1.8,4.0,1.0,0.8,0.0,1.5
2016-17,Playoffs,HOU,Houston Rockets,5,3,2,4.6,1.2,1.2,0.4,3.2,3.0,2.6,1.2,4.0
2016-17,Playoffs,SAS,San Antonio Spurs,5,3,2,6.0,4.2,2.2,1.0,5.6,0.8,1.0,1.4,5.2
2016-17,Playoffs,TOR,Toronto Raptors,4,3,1,2.7,0.5,0.0,0.3,1.5,1.0,0.8,0.0,2.0
2016-17,Playoffs,UTA,Utah Jazz,6,3,3,3.4,0.8,1.5,0.2,3.0,1.0,1.0,1.2,2.3
2016-17,Playoffs,BOS,Boston Celtics,4,2,2,5.6,1.5,2.5,1.0,4.0,2.3,2.5,1.5,2.0
2016-17,Playoffs,LAC,LA Clippers,5,2,3,3.6,1.2,1.2,1.4,2.8,1.0,1.8,0.2,3.6
2016-17,Playoffs,ATL,Atlanta Hawks,5,1,4,1.9,0.0,0.4,0.4,2.0,1.2,0.0,0.4,2.0
2016-17,Playoffs,CHI,Chicago Bulls,1,1,0,3.6,4.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0
2016-17,Playoffs,MEM,Memphis Grizzlies,3,1,2,4.8,0.3,0.0,1.7,4.0,3.3,2.0,1.0,4.7
2016-17,Playoffs,OKC,Oklahoma City Thunder,4,1,3,3.2,2.0,2.8,1.0,3.0,0.8,1.5,0.5,3.5
2016-17,Playoffs,IND,Indiana Pacers,4,0,4,4.2,1.3,0.5,0.0,2.0,1.3,1.5,0.0,2.0
2016-17,Playoffs,MIL,Milwaukee Bucks,3,0,3,3.3,1.3,1.0,0.0,2.7,0.7,0.0,0.3,2.0
2016-17,Playoffs,POR,Portland Trail Blazers,1,0,1,1.9,0.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0
2017-18,Pre+Season,BOS,Boston Celtics,2,2,0,2.6,2.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0
2017-18,Pre+Season,DAL,Dallas Mavericks,2,2,0,3.4,0.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0
2017-18,Pre+Season,DEN,Denver Nuggets,2,2,0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2017-18,Pre+Season,LAL,Los Angeles Lakers,4,2,2,3.6,1.0,0.0,0.5,2.0,1.5,0.5,0.0,2.5
2017-18,Pre+Season,MIA,Miami Heat,3,2,1,4.8,3.7,0.0,3.0,3.3,2.7,0.0,0.0,4.0
