SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,REB,REB_CONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
2024-25,Regular+Season,NYK,1610612752,New York Knicks,Anton Watson,1641817,3,1,2,2.3,1.0,0.0,0.0,1.0,100,0.0,100,8.3
2024-25,Regular+Season,NOP,1610612740,New Orleans Pelicans,Antonio Reeves,1641810,26,3,23,19.2,2.4,0.8,33.3,4.7,51.6,0.5,57.3,8.1
2024-25,Regular+Season,NYK,1610612752,New York Knicks,Ariel Hukporti,1630574,20,14,6,10.2,2.6,1.0,37.3,4.9,52.6,0.5,58.6,4.7
2024-25,Regular+Season,LAL,1610612747,Los Angeles Lakers,Armel Traore,1642422,7,3,4,8.1,2.1,0.6,26.7,3.7,57.7,0.1,60.0,4.1
2024-25,Regular+Season,DET,1610612765,Detroit Pistons,Ausar Thompson,1641709,59,34,25,22.5,5.1,2.1,40.9,8.9,57.4,0.6,61.6,6.5
2024-25,Regular+Season,LAL,1610612747,Los Angeles Lakers,Austin Reaves,1630559,70,44,26,35.2,4.7,1.0,21.6,8.8,53.4,0.8,58.4,9.7
2024-25,Regular+Season,CHI,1610612741,Chicago Bulls,Ayo Dosunmu,1630245,45,17,28,30.2,3.6,0.6,17.4,6.3,56.9,0.5,62.2,9.8
2024-25,Regular+Season,MIA,1610612748,Miami Heat,Bam Adebayo,1628389,78,36,42,34.3,9.6,3.8,39.3,15.6,61.5,1.1,66.3,5.9
2024-25,Regular+Season,BOS,1610612738,Boston Celtics,Baylor Scheierman,1631248,22,20,2,14.7,3.0,0.8,27.7,5.0,59.6,0.5,67.0,8.3
2024-25,Regular+Season,IND,1610612754,Indiana Pacers,Ben Sheppard,1641767,57,37,20,20.3,3.1,0.8,26.6,5.3,59.0,0.5,65.6,8.3
2024-25,Regular+Season,LAC,1610612746,Los Angeles Clippers,Ben Simmons,1627732,50,25,25,22.1,4.8,1.3,27.4,7.6,63.6,0.5,68.1,6.7
2024-25,Regular+Season,IND,1610612754,Indiana Pacers,Bennedict Mathurin,1631097,71,43,28,29.8,5.4,1.2,22.5,9.6,56.3,0.8,61.5,8.1
2024-25,Regular+Season,WAS,1610612764,Washington Wizards,Bilal Coulibaly,1641731,59,13,46,33.0,5.0,1.8,35.4,8.8,56.5,0.6,60.4,7.9
2024-25,Regular+Season,SAS,1610612759,San Antonio Spurs,Bismack Biyombo,202687,27,10,17,19.5,5.9,2.2,38.0,11.4,51.3,0.8,55.2,5.4
2024-25,Regular+Season,SAS,1610612759,San Antonio Spurs,Blake Wesley,1631104,33,15,18,15.7,1.8,0.4,19.7,3.3,56.0,0.4,62.9,7.9
2024-25,Regular+Season,MIL,1610612749,Milwaukee Bucks,Bobby Portis,1626171,49,30,19,25.4,8.4,2.7,31.9,13.2,63.6,0.9,68.5,5.0
