SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
2015-16,playoffs,-,0,4,240.0,398.0,16.5,3.8,8.0,46.9,0.8,1.0,75.0,8.3,50.0,5.0,30.3,0.8,4.5,1.0,6.1,0.5,3.0,0
2015-16,playoffs,-,7,7,245.4,385.0,9.2,2.1,4.4,49.2,1.1,1.4,80.0,5.4,58.9,2.6,27.9,0.4,4.7,0.6,6.2,0.7,7.8,0
2015-16,playoffs,-,11,7,240.0,339.3,8.7,1.9,3.8,49.3,0.9,1.0,88.9,4.7,53.8,3.2,36.5,0.4,4.5,0.4,5.1,0.5,5.8,0
2015-16,playoffs,-,5,6,242.3,388.0,3.5,0.5,1.3,42.9,0.3,0.7,37.5,1.5,41.0,1.1,30.8,0.4,10.3,0.4,10.3,0.4,10.3,0
2015-16,playoffs,-,6,4,240.0,419.7,21.7,5.6,11.4,49.1,2.5,2.8,89.3,14.2,65.4,6.1,28.1,0.9,4.1,1.4,6.5,1.4,6.5,0
2015-16,playoffs,-,10,10,243.8,392.1,5.4,1.1,2.6,40.4,0.6,0.7,85.7,2.7,50.5,1.5,27.1,0.2,3.7,0.5,9.3,0.4,6.5,0
2016-17,regular-season,-,43,39,242.4,431.2,10.8,2.1,4.4,46.8,1.4,2.1,63.6,5.7,52.7,3.2,29.6,0.8,7.0,0.8,7.1,1.2,10.7,0
2016-17,regular-season,-,53,29,240.9,442.4,12.0,2.3,4.7,49.1,1.0,1.3,80.2,5.8,48.5,4.3,35.6,1.2,9.7,0.8,6.4,0.7,5.5,0
2016-17,regular-season,-,20,61,240.9,433.3,15.5,2.9,6.1,47.8,1.4,1.7,82.1,7.4,47.8,5.3,34.2,1.4,8.8,1.2,8.0,0.9,5.6,0
2016-17,regular-season,-,36,46,241.8,408.1,8.5,1.8,3.7,49.2,1.0,1.3,77.7,4.8,56.3,2.7,32.0,0.8,8.9,0.4,5.2,0.6,7.4,0
2016-17,regular-season,-,41,41,241.2,424.0,14.7,3.1,6.9,45.7,1.3,1.7,78.7,7.7,52.7,4.8,32.5,1.0,6.5,0.8,5.7,0.8,5.7,0
2016-17,regular-season,-,51,31,242.4,394.3,10.3,2.1,5.0,41.6,1.1,1.3,87.7,5.4,52.1,2.8,27.1,0.5,5.2,0.9,8.3,0.6,6.3,0
2016-17,regular-season,-,32,49,241.2,410.8,11.9,2.4,5.3,45.6,1.2,1.3,88.0,6.1,51.3,3.9,32.6,0.7,6.2,0.5,4.5,0.7,5.8,0
2016-17,regular-season,-,39,42,240.9,419.4,12.4,2.9,5.9,49.2,1.4,1.9,75.0,7.3,58.7,3.3,26.4,0.8,6.8,0.9,7.6,1.0,7.9,0
2016-17,regular-season,-,37,45,241.5,397.9,12.2,3.2,7.5,42.5,0.7,1.2,58.8,7.2,59.5,2.6,21.6,0.5,4.1,0.7,5.6,0.6,5.1,0
2016-17,regular-season,-,67,15,241.2,440.1,14.9,1.9,4.1,45.6,1.0,1.3,78.3,4.8,32.2,6.1,40.8,2.4,15.9,1.0,6.7,0.7,4.4,0
2016-17,regular-season,-,55,27,241.2,388.9,3.7,0.8,1.7,47.5,0.3,0.4,75.0,2.0,54.5,1.0,27.4,0.3,8.6,0.3,8.3,0.2,5.9,0
2016-17,regular-season,-,42,39,242.2,405.8,13.3,3.0,6.5,45.8,1.0,1.3,79.2,7.1,53.5,4.1,30.8,0.8,6.1,0.6,4.8,0.7,5.1,0
2016-17,regular-season,-,51,31,240.9,419.9,11.7,2.4,4.9,49.6,1.2,1.7,73.0,6.2,52.7,3.9,33.4,0.8,6.7,0.7,5.7,0.9,7.5,0
2016-17,regular-season,-,26,56,240.3,409.3,10.4,1.9,4.7,40.8,0.9,1.2,75.0,4.8,45.9,3.2,31.1,0.8,7.4,0.8,7.4,0.6,5.6,0
2016-17,regular-season,-,43,39,242.7,422.1,21.0,4.6,10.2,44.6,1.8,2.4,76.1,11.2,53.1,6.2,29.3,1.2,5.6,1.3,6.3,1.3,6.0,0
2016-17,regular-season,-,41,41,241.2,401.9,9.9,1.9,4.2,44.3,0.6,1.0,65.4,4.4,45.0,3.4,34.5,0.7,7.2,0.8,7.9,0.5,5.1,0
