SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,W_PCT,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS
2015-16,playoffs,CLE,8,7,1,87.5,3.7,6.8,2.4,6.6,35.8,1.1,3.1,36.0,0.9,1.3,70.0,1.4,2.4,3.8,1.3,1.0,0.1,0.5,0.5,1.4,1.1,2.3
2015-16,playoffs,BOS,3,2,1,66.7,5.9,11.7,3.7,10.0,36.7,1.7,4.7,35.7,2.7,4.0,66.7,0.7,5.7,6.3,1.7,2.0,1.3,1.3,1.0,3.7,2.7,2.3
2015-16,playoffs,CHA,3,2,1,66.7,3.7,7.0,2.3,6.0,38.9,1.0,2.3,42.9,1.3,1.3,100,0.7,1.7,2.3,1.3,1.0,0.7,0.7,0.7,1.3,1.0,0.3
2015-16,playoffs,GSW,9,6,3,66.7,4.0,9.6,3.4,7.7,44.9,1.4,3.4,41.9,1.2,1.3,91.7,0.9,3.0,3.9,1.9,0.8,0.9,0.8,0.6,2.6,1.4,3.2
2015-16,playoffs,TOR,9,6,3,66.7,5.1,10.2,3.0,7.6,39.7,0.6,1.3,41.7,3.7,5.2,70.2,1.3,3.2,4.6,0.8,1.1,0.7,0.2,0.7,2.7,3.2,1.3
2015-16,playoffs,DAL,2,1,1,50.0,2.8,5.0,2.5,5.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,2.5,3.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
2015-16,playoffs,OKC,10,5,5,50.0,3.2,5.6,1.8,5.0,36.0,0.2,1.2,16.7,1.8,2.1,85.7,1.0,2.2,3.2,0.7,1.5,0.2,0.7,0.3,1.9,1.6,-1.9
2015-16,playoffs,POR,5,2,3,40.0,5.0,10.2,3.0,8.2,36.6,1.0,2.8,35.7,3.2,4.6,69.6,1.2,2.8,4.0,1.4,1.4,0.6,0.2,0.8,2.4,3.4,-2.4
2015-16,playoffs,SAS,5,2,3,40.0,3.6,8.8,2.2,6.4,34.4,0.4,2.2,18.2,4.0,4.8,83.3,1.0,1.4,2.4,0.6,0.2,1.2,0.2,0.6,2.0,2.4,1.2
2015-16,playoffs,MIA,8,3,5,37.5,5.5,10.5,3.4,8.1,41.5,0.6,2.1,29.4,3.1,4.0,78.1,0.9,4.3,5.1,0.6,1.3,0.5,0.9,0.4,2.8,2.9,-0.3
