SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Carmelo Anthony,2546,72,32,40,35.1,11874.3,2.20,1.20,1.00,3.85,4.06,3.63
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Caron Butler,2406,16,2,14,10.5,3670.0,0.70,0.40,0.30,3.98,4.26,3.69
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Chandler Parsons,202718,61,29,32,29.5,11028.5,2.10,1.20,0.90,4.26,4.66,3.86
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Channing Frye,101112,69,35,34,17.1,5996.2,1.10,0.60,0.50,4.00,4.38,3.63
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Charlie Villanueva,101111,62,29,33,10.7,3993.5,0.80,0.40,0.30,4.25,4.59,3.90
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Chase Budinger,201978,66,29,37,14.1,5370.8,1.00,0.60,0.50,4.34,4.72,3.98
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Chris Andersen,2365,27,11,16,14.9,5358.3,1.00,0.50,0.50,4.10,4.27,3.92
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Chris Bosh,2547,53,29,24,33.5,11248.9,2.10,1.20,1.00,3.82,4.06,3.57
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Chris Copeland,203142,24,10,14,6.5,2234.5,0.40,0.20,0.20,3.93,3.97,3.89
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Chris Johnson,203187,70,38,32,12.2,4841.7,0.90,0.50,0.40,4.52,4.69,4.33
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Chris Kaman,2549,16,11,5,7.0,2362.4,0.40,0.20,0.20,3.86,3.98,3.60
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Chris McCullough,1626191,24,7,17,15.1,6178.8,1.20,0.60,0.50,4.68,5.17,4.19
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Chris Paul,101108,74,50,24,32.7,11378.3,2.20,1.10,1.00,3.96,4.27,3.67
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Christian Wood,1626174,17,0,17,8.5,3288.0,0.60,0.30,0.30,4.52,4.89,4.16
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Chuck Hayes,101236,2,1,1,11.9,4268.5,0.80,0.40,0.40,4.03,4.73,3.87
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Cleanthony Early,203921,17,6,11,9.0,3373.1,0.60,0.30,0.30,4.28,4.62,3.87
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Cliff Alexander,1626146,8,3,5,4.5,1723.4,0.30,0.20,0.20,4.34,4.66,4.02
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Clint Capela,203991,77,39,38,19.1,7264.7,1.40,0.70,0.70,4.33,4.64,4.06
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Cody Zeller,203469,73,42,31,24.3,9575.5,1.80,1.00,0.80,4.49,4.95,4.04
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Cole Aldrich,202332,60,41,19,13.3,4884.8,0.90,0.50,0.40,4.18,4.40,3.96
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Corey Brewer,201147,82,41,41,20.4,7855.0,1.50,0.80,0.70,4.40,4.67,4.15
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Cory Jefferson,203928,8,2,6,6.3,2348.5,0.40,0.20,0.20,4.33,4.53,3.88
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Cory Joseph,202709,79,53,26,25.5,10020.4,1.90,1.10,0.80,4.47,4.74,4.18
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Coty Clarke,1626262,3,0,3,1.9,723.7,0.10,0.10,0.10,4.14,3.95,4.36
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Courtney Lee,201584,79,49,30,29.6,10960.0,2.10,1.10,1.00,4.22,4.38,4.05
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Cristiano Felicio,1626245,31,14,17,10.3,4019.6,0.80,0.40,0.40,4.41,4.76,4.07
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,D'Angelo Russell,1626156,80,17,63,28.2,10869.6,2.10,1.10,0.90,4.38,4.69,4.05
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,D.J. Augustin,201571,62,35,27,19.0,6847.7,1.30,0.70,0.60,4.11,4.44,3.76
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Dahntay Jones,2563,1,0,1,42.4,15778.0,3.00,1.50,1.50,4.26,4.19,4.31
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Damian Lillard,203081,75,40,35,35.7,13149.5,2.50,1.40,1.10,4.19,4.65,3.72
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Damien Inglis,203996,20,5,15,7.8,2830.0,0.50,0.30,0.30,4.11,4.41,3.83
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Damjan Rudez,204014,33,9,24,8.4,3139.2,0.60,0.30,0.30,4.26,4.72,3.82
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Danilo Gallinari,201568,53,22,31,34.7,12068.8,2.30,1.30,1.00,3.96,4.29,3.62
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Danny Green,201980,79,65,14,26.1,10519.3,2.00,1.10,0.90,4.60,4.88,4.29
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Dante Cunningham,201967,80,28,52,24.6,9844.9,1.90,1.00,0.90,4.55,4.93,4.19
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Darrell Arthur,201589,70,26,44,21.7,7700.9,1.50,0.80,0.70,4.05,4.35,3.76
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Darren Collison,201954,73,29,44,30.0,11183.1,2.10,1.10,1.00,4.24,4.48,4.00
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Darrun Hilliard,1626199,38,17,21,10.1,3799.1,0.70,0.40,0.30,4.29,4.65,3.97
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,David Lee,101135,54,26,28,16.5,6083.5,1.20,0.60,0.60,4.23,4.46,4.00
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,David West,2561,78,63,15,18.0,6050.3,1.10,0.60,0.50,3.83,4.03,3.63
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,DeAndre Jordan,201599,77,51,26,33.7,11440.8,2.20,1.10,1.10,3.86,4.05,3.68
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,DeJuan Blair,201971,29,12,17,7.5,2625.3,0.50,0.30,0.20,3.97,4.08,3.85
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,DeMar DeRozan,201942,77,52,25,35.9,13055.6,2.50,1.40,1.10,4.14,4.48,3.76
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,DeMarcus Cousins,202326,64,29,35,34.7,11147.4,2.10,1.10,1.00,3.66,3.86,3.47
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,DeMarre Carroll,201960,26,16,10,30.2,10887.8,2.10,1.10,0.90,4.09,4.09,4.10
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Delon Wright,1626153,27,19,8,8.5,3305.4,0.60,0.30,0.30,4.44,4.71,4.14
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Dennis Schröder,203471,80,47,33,20.3,7918.8,1.50,0.80,0.70,4.46,4.87,4.08
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Deron Williams,101114,65,31,34,32.4,12185.0,2.30,1.30,1.00,4.28,4.75,3.80
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Derrick Favors,202324,62,30,32,32.0,11433.5,2.20,1.20,1.00,4.07,4.26,3.85
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Derrick Rose,201565,66,32,34,31.8,11948.0,2.30,1.20,1.00,4.28,4.65,3.93
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Derrick Williams,202682,80,32,48,17.9,6415.0,1.20,0.70,0.50,4.08,4.36,3.78
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Devin Booker,1626164,76,20,56,27.7,10383.8,2.00,1.00,0.90,4.26,4.51,4.00
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Devin Harris,2734,64,35,29,20.0,7283.8,1.40,0.80,0.60,4.16,4.44,3.86
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Devyn Marble,203906,28,12,16,8.9,3598.4,0.70,0.40,0.30,4.62,4.84,4.35
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Dewayne Dedmon,203473,58,21,37,12.2,4478.4,0.80,0.40,0.40,4.20,4.50,3.92
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Dion Waiters,203079,78,53,25,27.6,9614.5,1.80,1.00,0.90,3.97,4.20,3.74
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Dirk Nowitzki,1717,75,38,37,31.5,10312.0,2.00,1.00,0.90,3.74,3.91,3.55
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Donald Sloan,202388,61,13,48,21.6,8426.3,1.60,0.90,0.70,4.44,4.84,4.05
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Donatas Motiejunas,202700,37,19,18,14.8,5818.6,1.10,0.60,0.50,4.49,4.80,4.21
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Doug McDermott,203926,81,41,40,23.0,9163.8,1.70,0.90,0.80,4.54,4.89,4.21
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Draymond Green,203110,81,73,8,34.7,11937.0,2.30,1.20,1.10,3.92,4.41,3.49
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Drew Gooden,2400,30,18,12,10.2,3828.4,0.70,0.40,0.30,4.29,4.49,4.05
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Duje Dukan,1626251,1,0,1,24.2,9967.0,1.90,1.10,0.80,4.71,4.80,4.61
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Dwight Howard,2730,71,34,37,32.1,10905.3,2.10,1.10,1.00,3.87,4.13,3.63
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Dwight Powell,203939,69,35,34,14.4,5684.5,1.10,0.60,0.50,4.51,4.85,4.15
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Dwyane Wade,2548,74,43,31,30.5,10858.4,2.10,1.10,0.90,4.06,4.34,3.75
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,E'Twaun Moore,202734,59,29,30,21.4,8338.7,1.60,0.80,0.70,4.42,4.77,4.08
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Ed Davis,202334,81,43,38,20.8,7649.0,1.40,0.80,0.70,4.20,4.44,3.95
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Edy Tavares,204002,11,7,4,6.6,2428.5,0.50,0.20,0.20,4.21,4.59,3.84
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Elfrid Payton,203901,72,32,40,29.5,11914.4,2.30,1.20,1.10,4.60,4.88,4.33
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Elijah Millsap,202407,20,9,11,8.6,3308.5,0.60,0.30,0.30,4.35,4.58,4.19
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Elliot Williams,202343,5,4,1,9.0,3562.2,0.70,0.30,0.30,4.52,4.60,4.19
