SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST
2015-16,Regular+Season,SAS,,76,62,14,18.1,0.9,0.7,70.8,2.4,38.7,0.1,40.0,6.9,0,0
2015-16,Regular+Season,LAC,,77,51,26,33.7,3.5,2.4,68.2,6.6,52.3,0.2,53.6,5.6,0,0
2015-16,Regular+Season,WAS,,21,8,13,9.3,1.0,0.7,70.0,2.1,45.5,0.0,46.5,6.3,0,0
2015-16,Regular+Season,TOR,,75,51,24,35.9,0.8,0.5,54.8,3.1,26.6,0.1,27.8,10.7,0,0
2015-16,Regular+Season,SAC,,64,29,35,34.7,2.4,1.7,70.1,6.3,38.3,0.2,39.5,5.0,0,0
2015-16,Regular+Season,TOR,,26,16,10,30.2,1.2,0.7,58.1,3.8,31.0,0.2,32.3,8.9,0,0
2015-16,Regular+Season,TOR,,16,13,3,12.6,0.5,0.3,50.0,1.9,25.8,0.0,25.8,12.5,0,0
2015-16,Regular+Season,ATL,,72,40,32,20.4,0.3,0.1,40.0,1.8,19.4,0.1,20.3,13.0,0,0
2015-16,Regular+Season,DAL,,59,28,31,33.1,0.3,0.1,26.3,2.2,14.7,0.2,15.8,15.1,0,0
2015-16,Regular+Season,UTA,,62,30,32,32.0,2.7,1.9,71.0,6.3,43.3,0.1,44.2,6.3,0,0
2015-16,Regular+Season,CHI,,62,31,31,32.5,0.7,0.4,56.5,4.2,17.8,0.2,18.5,9.5,0,0
2015-16,Regular+Season,NYK,,76,30,46,18.3,0.6,0.3,48.9,1.8,34.1,0.0,34.8,9.4,0,0
2015-16,Regular+Season,PHX,,61,14,47,30.2,0.4,0.2,37.0,2.3,19.6,0.1,20.6,13.1,0,0
2015-16,Regular+Season,DAL,,55,33,22,21.0,0.3,0.1,16.7,1.2,28.1,0.0,28.1,14.4,0,0
2015-16,Regular+Season,ORL,,12,5,7,15.1,0.4,0.1,20.0,1.1,38.5,0.0,38.5,16.7,0,0
2015-16,Regular+Season,ORL,,47,18,29,14.2,1.4,0.9,64.2,2.9,49.3,0.1,51.1,6.4,0,0
2015-16,Regular+Season,OKC,,69,48,21,27.8,0.5,0.1,25.0,1.7,30.3,0.0,31.0,13.8,0,0
2015-16,Regular+Season,DAL,,75,38,37,31.5,0.7,0.5,69.2,1.7,40.0,0.1,43.7,10.8,0,0
2015-16,Regular+Season,BKN,,48,12,36,24.1,0.4,0.1,23.5,1.5,24.3,0.1,26.6,15.8,0,0
2015-16,Regular+Season,HOU,,32,18,14,15.9,1.2,0.7,62.2,2.1,55.2,0.0,56.1,8.2,0,0
2015-16,Regular+Season,CHI,,74,38,36,23.6,0.5,0.2,45.9,1.6,31.1,0.1,33.0,12.8,0,0
2015-16,Regular+Season,GSW,,81,73,8,34.7,1.7,1.1,69.4,4.0,41.1,0.1,42.1,6.3,0,0
2015-16,Regular+Season,WAS,,25,15,10,11.4,1.1,0.8,67.9,1.8,63.6,0.1,66.7,6.2,0,0
2015-16,Regular+Season,SAC,,1,0,1,24.2,2.0,1.0,50.0,4.0,50.0,0.0,50.0,7.5,0,0
2015-16,Regular+Season,HOU,,71,34,37,32.1,3.4,2.4,71.4,7.8,43.0,0.2,44.2,4.6,0,0
2015-16,Regular+Season,DAL,,59,31,28,16.4,1.4,0.9,63.1,3.6,39.3,0.1,40.8,6.3,0,0
2015-16,Regular+Season,MIA,,73,43,30,30.5,1.1,0.6,57.3,3.3,34.0,0.1,35.2,7.5,0,0
2015-16,Regular+Season,CHI,,50,25,25,22.9,0.4,0.2,47.4,1.4,27.5,0.0,28.4,12.0,0,0
2015-16,Regular+Season,POR,,81,43,38,20.8,2.8,1.9,67.0,6.3,43.7,0.2,45.0,5.6,0,0
2015-16,Regular+Season,ATL,,8,6,2,7.5,0.9,0.4,42.9,2.1,41.2,0.0,41.2,3.8,0,0
2015-16,Regular+Season,ORL,,69,30,39,30.2,1.1,0.5,45.5,3.7,30.3,0.2,31.8,9.9,0,0
2015-16,Regular+Season,UTA,,15,6,9,10.0,0.4,0.3,66.7,1.4,28.6,0.0,28.6,10.8,0,0
2015-16,Regular+Season,CHA,,1,1,0,19.9,1.0,0.0,0.0,2.0,50.0,0.0,50.0,17.6,0,0
2015-16,Regular+Season,PHI,,15,2,13,13.3,0.6,0.4,66.7,1.4,42.9,0.0,42.9,7.8,0,0
2015-16,Regular+Season,DEN,,64,26,38,30.6,0.5,0.3,50.0,2.7,18.8,0.1,19.3,11.3,0,0
2015-16,Regular+Season,OKC,,82,55,27,21.0,3.0,2.4,77.9,6.9,44.2,0.2,45.6,4.1,0,0
2015-16,Regular+Season,PHX,,30,11,19,34.0,0.6,0.2,38.9,3.2,18.6,0.1,19.4,11.8,0,0
2015-16,Regular+Season,NOP,,41,13,28,33.8,0.2,0.0,10.0,1.5,15.9,0.0,15.9,18.3,0,0
2015-16,Regular+Season,SAC,,7,1,6,6.2,0.4,0.3,66.7,2.4,17.6,0.0,17.6,6.9,0,0
2015-16,Regular+Season,DEN,,5,3,2,6.6,0.6,0.0,0.0,0.8,75.0,0.0,75.0,21.8,0,0
